test,period,p,q,amplitude,p(amplitude),q(amplitude),CI(amplitude),acrophase,p(acrophase),q(acrophase),CI(acrophase),acrophase[h]
0.0,24.0,4.871125887946693e-10,1.516539815674562e-09,1.0963346928178694,1.1479267034732058e-30,3.5738689398294076e-30,"[0.9096792393100894, 1.2829901463256494]",-0.010280121882809468,0.9093343692903998,0.9531474603509761,"[-0.1872119105807022, 0.16665166681508325]",0.03926717311767093
1.0,24.0,4.085219221258292e-08,8.468530724001434e-08,0.8975804906270581,1.933160430407452e-19,4.0073806600486154e-19,"[0.7024794529444316, 1.0926815283096847]",-0.04368411536072436,0.7046242338858677,0.830924804110693,"[-0.26954147563558084, 0.18217324491413212]",0.16686102946214104
2.0,24.0,1.783797115686639e-10,6.895234308800306e-10,1.0573216506483907,6.740869664470341e-34,2.6056705312989335e-33,"[0.8865755027771842, 1.2280677985195971]",-0.029520812118494,0.7302551095623799,0.8479506613590106,"[-0.197334166576211, 0.138292542339223]",0.11276119614589072
3.0,24.0,1.6950017011000926e-13,1.4177696059638266e-11,1.026152125444483,1.7110761559655544e-66,1.4500645389538597e-64,"[0.9093933859801836, 1.1429108649087825]",0.03783272094387691,0.5305584734794322,0.6936311589481399,"[-0.08040108296769008, 0.1560665248554439]",23.855489650827977
4.0,24.0,3.776538014330833e-09,9.02182994345636e-09,1.0031982618048458,6.419020020630373e-25,1.533449598812798e-24,"[0.8124678784585255, 1.1939286451511661]",-0.012861234836532454,0.8984793351941726,0.9470637031666201,"[-0.2104396304719801, 0.1847171607989152]",0.04912629836399579
5.0,24.0,5.000050363806115e-09,1.1592975571078401e-08,0.9618065211046921,3.2812146600506077e-24,7.607731648621859e-24,"[0.7760993328519157, 1.1475137093574685]",0.05119014703359959,0.6169946671509574,0.7650820443987044,"[-0.14942572090114511, 0.2518060149683443]",23.80446804148804
6.0,24.0,9.71395735956426e-11,4.3663506850322404e-10,0.9820412406710742,5.3297938908585153e-36,2.3964900588392607e-35,"[0.8283889035551966, 1.135693577786952]",-0.024764327202838388,0.7653061125777414,0.8713707689553825,"[-0.18735693924198274, 0.13782828483630596]",0.09459276208024367
7.0,24.0,1.6957861643701803e-09,4.44039320337832e-09,0.9095634230197525,4.861260383191566e-27,1.272914475829161e-26,"[0.7440109252526063, 1.0751159207868988]",0.08116768942122565,0.40008691883595116,0.5694376869284816,"[-0.10789015249871362, 0.2702255313411649]",23.68996226422234
8.0,24.0,1.9811736220984986e-09,5.090374157498712e-09,1.0003069543153384,1.2922691893874986e-26,3.3203216582412604e-26,"[0.816696470348895, 1.1839174382817819]",0.0965467886968776,0.3208531432572853,0.4833737965950731,"[-0.09407176995565653, 0.28716534734941174]",23.631218432141836
9.0,24.0,2.5004843568233155e-10,8.994548046127033e-10,0.9236932500301009,8.938603438964051e-33,3.214168802216487e-32,"[0.7718568883135634, 1.0755296117466384]",-0.13999815253100412,0.10769260194541333,0.19337870703072965,"[-0.3105704390477795, 0.030574133985771274]",0.5347535519770187
