test,period,n_components,p,q,p_reject,q_reject,amplitude,CI(amplitude),p(amplitude),q(amplitude),acrophase,CI(acrophase),p(acrophase),q(acrophase),mesor,CI(mesor),p(mesor),q(mesor),peaks,heights
0.0,24.0,2.0,1.1620260309541663e-11,6.138542160349532e-11,0.22200046023979814,0.9450705005725358,1.6866840870549997,"[1.4920186586370903, 1.888874464583511]",0.0,0.0,-0.6163685286322318,"[-0.6962389383002574, -0.5341380226934269]",0.0,0.0,-0.17412952745277144,"[-0.32995242821586923, -0.026928080531415877]",0.021030013652994173,0.5177833615851237,[ 2.35435435 16.14414414],[1.51255456 0.39298474]
1.0,24.0,2.0,4.842715117803209e-11,1.7784484457595333e-10,0.35537374561712354,0.9450705005725358,1.6358717747818199,"[1.4432564585880359, 1.833965514841208]",0.0,0.0,-0.6289474781961548,"[-0.7183661087729587, -0.5403283689507563]",0.0,0.0,-0.07651279913938924,"[-0.23544446599022983, 0.08322823883518599]",0.34881599361478877,0.9999843820196646,[ 2.4024024  16.24024024],[1.55935898 0.39592081]
10.0,24.0,2.0,1.8142154445399683e-12,1.8606473374788612e-11,0.878139516145237,0.949200397778819,1.7843068376283608,"[1.5992683995329169, 1.9774280543810403]",0.0,0.0,-0.5283158816847697,"[-0.6059532331812726, -0.45415293884097563]",0.0,0.0,-0.15387564148899857,"[-0.30619533952091493, 0.0011922190211397787]",0.051800340153793645,0.7394203316427536,[ 2.01801802 15.61561562],[1.6304312  0.44930047]
100.0,24.0,2.0,6.361577931102147e-13,1.04949912937383e-11,0.7400517959275212,0.9450705005725358,1.7221548927427726,"[1.5559136912381768, 1.893409506279018]",0.0,0.0,-0.6037895790683088,"[-0.6885546468674771, -0.5271699624463434]",0.0,0.0,-0.025624978417899902,"[-0.17155968723950973, 0.11684849778367054]",0.7097792498597264,0.9999843820196646,[ 2.30630631 16.04804805],[1.6965095  0.20652578]
1000.0,24.0,2.0,1.1963763313360687e-11,6.269008942715775e-11,0.56154304022661,0.9450705005725358,1.7578097652654057,"[1.5435184249814191, 1.972230881790066]",0.0,0.0,-0.5912106295043857,"[-0.6814026650264524, -0.5046446597948573]",0.0,0.0,-0.11411759675678779,"[-0.2812752396257256, 0.06029094634361287]",0.20452783714820288,0.9999843820196646,[ 2.25825826 16.04804805],[1.64369217 0.21361472]
1001.0,24.0,2.0,1.9604318168831014e-12,1.9468041875701106e-11,0.37359742065863055,0.9450705005725358,1.6443334438124488,"[1.4945250456239005, 1.7998306090253524]",0.0,0.0,-0.5408948312486928,"[-0.6281023214953595, -0.45841752654320345]",0.0,0.0,-0.003199514951865323,"[-0.13050112964608848, 0.13118149511055624]",0.9959301994395968,0.9999843820196646,[ 2.06606607 15.66366366],[1.64113393 0.32545845]
1002.0,24.0,2.0,3.130817827212695e-11,1.2659999301304875e-10,0.06024998105426849,0.9450705005725358,1.531049649268096,"[1.342559122327419, 1.7318733408024864]",0.0,0.0,-0.6037895790683088,"[-0.7014096063655996, -0.4971710870127398]",0.0,0.0,-0.04013766708355049,"[-0.1944071673903413, 0.12104811235878656]",0.6482420073684096,0.9999843820196646,[ 2.30630631 16.19219219],[1.49091198 0.43243585]
1003.0,24.0,2.0,6.793454687681333e-12,4.253885214578167e-11,0.6982641977962734,0.9450705005725358,1.7661871915890928,"[1.6054057828293091, 1.9321016415885852]",0.0,0.0,-0.5660527303765397,"[-0.6451859237528825, -0.48483473565502355]",0.0,0.0,-0.04290610338613399,"[-0.17923333613444128, 0.09944760042223608]",0.5743673973130239,0.9999843820196646,[ 2.16216216 16.28828829],[1.72328109 0.33577236]
1004.0,24.0,2.0,1.9437673692834778e-11,8.868919386405687e-11,0.9007501301063071,0.9535218554203732,1.5894438858492266,"[1.420529277850039, 1.7608589197181679]",0.0,0.0,-0.5408948312486928,"[-0.6066294391026709, -0.46841502895325393]",0.0,0.0,-0.13098455360990102,"[-0.2600920963141997, -0.0036847381528948564]",0.0437808956347423,0.6916413212439543,[ 2.06606607 15.71171171],[1.45842556 0.44381001]
1005.0,24.0,2.0,5.19351228689402e-12,3.5827838130994454e-11,0.7415912493594816,0.9450705005725358,1.5453558864019938,"[1.383558682915483, 1.7263001503295408]",0.0,0.0,-0.5031579825569237,"[-0.6055309994136087, -0.3897105770911198]",0.0,0.0,-0.18395585487762434,"[-0.3216078273896247, -0.04447494201729876]",0.009676327290494946,0.3801083820839511,[ 1.92192192 16.14414414],[1.36140003 0.32832151]
1006.0,24.0,2.0,3.244282620329386e-10,8.42014695128312e-10,0.47671474259632174,0.9450705005725358,1.603290325282346,"[1.3758103177926588, 1.8406185035390323]",0.0,0.0,-0.6289474781961548,"[-0.7915504290843748, -0.4659228567171526]",8.01581023779363e-14,1.6925274995341279e-13,0.004874265348088214,"[-0.17565108261290885, 0.18691319038288245]",0.9514070607861878,0.9999843820196646,[ 2.4024024  16.19219219],[1.60816459 0.53094024]
1007.0,24.0,2.0,3.470410625538989e-10,8.937446885240765e-10,0.6401241331670062,0.9450705005725358,1.5430886692913446,"[1.3493318576339013, 1.7422240754029394]",0.0,0.0,-0.5912106295043857,"[-0.7029221277878617, -0.48720115442279477]",0.0,0.0,0.020981237760636873,"[-0.15451079143710764, 0.1947780992019235]",0.8210713015876205,0.9999843820196646,[ 2.25825826 15.9039039 ],[1.56406991 0.35887662]
1008.0,24.0,2.0,7.72715225139109e-13,1.1667373894328828e-11,0.7083974987993191,0.9450705005725358,1.6710968383685203,"[1.4688125994030334, 1.8815425946957591]",0.0,0.0,-0.6163685286322318,"[-0.6696117731758704, -0.5548468515150546]",0.0,0.0,0.011375546558711314,"[-0.1394895580946277, 0.1628125351741111]",0.8796926238306373,0.9999843820196646,[ 2.35435435 15.61561562],[1.68243363 0.49812354]
1009.0,24.0,2.0,1.9839019316236772e-11,9.005455885718008e-11,0.4739134830709977,0.9450705005725358,1.7671059015260906,"[1.5872645209118967, 1.9554506421862843]",0.0,0.0,-0.5534737808126167,"[-0.6262420543361609, -0.4788429838922151]",0.0,0.0,0.03197080216422621,"[-0.11770388717356478, 0.17798443194190966]",0.689201879804243,0.9999843820196646,[ 2.11411411 15.71171171],[1.7990767  0.37458829]
101.0,24.0,2.0,2.697819745378638e-11,1.1321996755355548e-10,0.001299321210344928,0.9450705005725358,1.6531133788888939,"[1.4897738226177863, 1.8259199689076189]",0.0,0.0,-0.5534737808126167,"[-0.6240117484007675, -0.4716205996759504]",0.0,0.0,-0.08649386346132748,"[-0.21417222487884197, 0.04407133042496093]",0.1964601739485663,0.9999843820196646,[ 2.11411411 15.95195195],[1.56661952 0.15305736]
1010.0,24.0,2.0,1.3855583347321954e-13,4.843254805411757e-12,0.03174041764741087,0.9450705005725358,1.780628511844204,"[1.6002884061783187, 1.9638639261092499]",0.0,0.0,-0.6163685286322318,"[-0.6930671735230735, -0.5383726483225261]",0.0,0.0,-0.0715076023701875,"[-0.2181225568434075, 0.0760591722142702]",0.34354309335823574,0.9999843820196646,[ 2.35435435 16.04804805],[1.70912091 0.41653506]
1011.0,24.0,2.0,9.74993419333714e-10,2.2244887504761897e-09,0.5114522448192236,0.9450705005725358,1.657605103775794,"[1.3597743578779018, 1.9634873566163558]",0.0,0.0,-0.5408948312486928,"[-0.6368288388748615, -0.4411644742583319]",0.0,0.0,-0.015342202022103013,"[-0.24111447685464718, 0.20734848272491604]",0.8825694220073039,0.9999843820196646,[ 2.06606607 16.38438438],[1.6422629  0.13381341]
1012.0,24.0,2.0,3.22786242179518e-12,2.65013335122757e-11,0.012831678012583225,0.9450705005725358,1.707345041758539,"[1.502968926227095, 1.9205704736240623]",0.0,0.0,-0.6289474781961548,"[-0.7176394775684323, -0.5422702045396235]",0.0,0.0,-0.05293227129168332,"[-0.21407999375485515, 0.10191392677491533]",0.48623995047213775,0.9999843820196646,[ 2.4024024  16.28828829],[1.65441277 0.34821531]
1013.0,24.0,2.0,1.1186829240728002e-11,5.982261626057755e-11,0.9040680027531107,0.9542966810458535,1.7100861225616422,"[1.5338845166886061, 1.892781533634309]",0.0,0.0,-0.5912106295043857,"[-0.6637521974571251, -0.526117114657893]",0.0,0.0,0.12791213568557436,"[-0.03038520585156751, 0.28797719192873467]",0.11265631820581534,0.9466917496287004,[ 2.25825826 15.95195195],[1.83794462 0.52357434]
1014.0,24.0,2.0,4.2318482051939554e-11,1.6025955900881755e-10,0.993056737291284,0.9958451035813116,1.7304825459795108,"[1.5572225619333977, 1.9112409539567674]",0.0,0.0,-0.5912106295043857,"[-0.6974999439421973, -0.4661384060404542]",0.0,0.0,-0.11396115044873545,"[-0.24863220234279035, 0.03003116958303617]",0.12402674347240672,0.9874740722325377,[ 2.25825826 16.62462462],[1.61647778 0.35876965]
1015.0,24.0,2.0,4.676736775621748e-11,1.7284166955700196e-10,0.8521457610265407,0.9450705005725358,1.740221880271788,"[1.4789036518183765, 2.0118170517102794]",0.0,0.0,-0.5912106295043857,"[-0.6750553438006478, -0.5127461220839581]",0.0,0.0,0.043396818565662354,"[-0.1516273038835731, 0.2379991539024086]",0.6636486024538149,0.9999843820196646,[ 2.25825826 15.56756757],[1.7836187  0.43788435]
1016.0,24.0,2.0,1.751931932858497e-13,5.308884645025748e-12,0.9914016327184415,0.9952427531538248,1.6982849621435336,"[1.5480100143346567, 1.8433389096938608]",0.0,0.0,-0.6037895790683088,"[-0.6653206619860086, -0.5302889283203918]",0.0,0.0,0.1288196791018852,"[0.015737739577391704, 0.24053569337201997]",0.025499755224099196,0.5599722129305607,[ 2.30630631 15.71171171],[1.82708459 0.42600887]
1017.0,24.0,2.0,4.4862491499486623e-10,1.1129370255392365e-09,0.629037244467028,0.9450705005725358,1.5615705304268426,"[1.38988254399492, 1.7516418414154067]",0.0,0.0,-0.5786316799404627,"[-0.6876036575604426, -0.4765032303549096]",0.0,0.0,-0.001648208941926299,"[-0.15941366186824807, 0.1532094103852557]",0.968942526218604,0.9999843820196646,[ 2.21021021 16.38438438],[1.55990752 0.32254771]
1018.0,24.0,2.0,1.2250422898318902e-11,6.368317746553094e-11,0.38165448366350563,0.9450705005725358,1.5859029763596597,"[1.435699822832183, 1.7312486970713143]",0.0,0.0,-0.6415264277600778,"[-0.72877011841206, -0.5643667580523047]",0.0,0.0,-0.08659171508139041,"[-0.20693490932656733, 0.03046392924673881]",0.14495826970403747,0.9999843820196646,[ 2.45045045 15.95195195],[1.49931126 0.6153997 ]
1019.0,24.0,2.0,2.109312724485335e-12,2.0204144870549185e-11,0.9304361322332545,0.9651299162167799,1.7941231144204322,"[1.6131154571508495, 1.9801475034805136]",0.0,0.0,-0.6289474781961548,"[-0.7034890920790015, -0.5570032722462309]",0.0,0.0,0.013976233431736373,"[-0.13399682585623376, 0.15481761015555665]",0.8875297307402419,0.9999843820196646,[ 2.4024024  15.75975976],[1.80809935 0.14917933]
102.0,24.0,2.0,6.045228762019406e-10,1.4462068896605167e-09,0.5328923453213923,0.9450705005725358,1.5594456981978504,"[1.4021094922054294, 1.728981542478578]",0.0,0.0,-0.6289474781961548,"[-0.7365916067421563, -0.5189274518369369]",0.0,0.0,-0.07819499010502651,"[-0.2349792577172354, 0.077735261203872]",0.3240100057585642,0.9999843820196646,[ 2.4024024 16.       ],[1.48125071 0.46307075]
1020.0,24.0,2.0,1.8153256675645935e-12,1.8606473374788612e-11,0.6757986722854936,0.9450705005725358,1.71292396441384,"[1.5169475513669481, 1.9128373472029656]",0.0,0.0,-0.5912106295043857,"[-0.6820011882867344, -0.4936593033396147]",0.0,0.0,-0.10484934848181271,"[-0.2578295150116963, 0.050641455017343365]",0.18779510211939243,0.9999843820196646,[ 2.25825826 16.33633634],[1.60807462 0.56441045]
