"","pVal","phase","peak.shape","period"
"0",4.21405487978579e-07,4,8,24
"1",1.90760182403829e-06,4,6,24
"2",1.99989045142377e-07,4,6,24
"3",4.14263022080637e-07,4,8,24
"4",3.40057293791946e-06,4,8,24
"5",1.10783565951466e-07,4,6,24
"6",5.92124269961123e-08,4,8,24
"7",8.64935070446363e-07,6,6,24
"8",2.23510584786254e-06,4,8,24
"9",1.24795379629963e-06,4,8,24
"10",5.18038047872422e-06,4,8,24
"11",1.34226846663249e-05,4,6,24
"12",1.22605987004876e-06,4,8,24
"13",1.36143506158551e-06,4,8,24
"14",2.13792846573004e-07,4,8,24
"15",4.46106655816519e-07,4,8,24
"16",9.61434726277997e-08,4,6,24
"17",1.13830809899798e-07,4,8,24
"18",2.09319436545857e-06,4,8,24
"19",3.40057293791946e-06,4,8,24
"20",1.22109414256147e-07,4,8,24
"21",1.33874447722575e-06,4,8,24
"22",5.26969738352981e-06,4,8,24
"23",2.07493531737498e-06,4,6,24
"24",6.00198815835299e-08,4,6,24
"25",3.08026024254263e-07,4,8,24
"26",3.00460126866336e-08,4,8,24
"27",1.30202815055301e-05,4,8,24
"28",3.51313158901987e-06,4,8,24
"29",9.24584245797607e-08,4,8,24
"30",1.69082034737502e-09,4,6,24
"31",9.78603203532962e-08,4,6,24
"32",6.56536219998039e-07,4,6,24
"33",1.23799397921434e-05,4,8,24
"34",1.35062635321255e-08,4,8,24
"35",1.2698477225505e-06,4,8,24
"36",1.97453522137297e-06,6,6,24
"37",3.40057293791946e-06,4,8,24
"38",6.68779344457494e-06,4,6,24
"39",1.24795379629963e-06,4,8,24
"40",3.20956781962167e-05,4,8,24
"41",3.81520364807658e-06,4,8,24
"42",2.68943519622426e-05,6,6,24
"43",1.57064832566552e-06,4,6,24
"44",5.35512879549467e-06,6,6,24
"45",1.98676075365559e-06,4,8,24
"46",1.12048406853279e-06,4,6,24
"47",6.69372238612875e-07,4,6,24
"48",6.02890165778598e-08,4,8,24
"49",9.40313081203038e-05,4,8,24
"50",3.00460126866336e-08,4,8,24
"51",1.01967235615204e-06,6,6,24
"52",3.87039920824224e-06,4,8,24
"53",3.32125425377236e-09,4,8,24
"54",7.38988358869909e-09,4,8,24
"55",3.40057293791946e-06,4,8,24
"56",3.34389672228747e-06,4,8,24
"57",2.02223862425658e-06,4,8,24
"58",4.3283002133211e-06,4,6,24
"59",3.38164069475004e-09,4,8,24
"60",6.03009711565284e-05,6,6,24
"61",1.4612548522687e-08,4,6,24
"62",1.46931358186922e-09,4,8,24
