test,period,p,q,amplitude,p(amplitude),q(amplitude),CI(amplitude),acrophase,p(acrophase),q(acrophase),CI(acrophase),acrophase[h]
0.0,24.0,0.0001630735944044791,0.0014844256404368818,1.182318862515523,2.48664950520961e-07,2.2729885788022033e-06,"[0.7331164373353798, 1.6315212876956662]",-0.06497851431019441,0.7469558726924587,0.9474285204321844,"[-0.4596886610007206, 0.32973163238033176]",0.24819964193363758
1.0,24.0,0.0022396044886339515,0.008253173090699147,0.9847230742114581,5.385380486537547e-05,0.00019835655567357447,"[0.5067866721696082, 1.462659476253308]",-0.1793301371531646,0.4848329334709852,0.8526783916127071,"[-0.6824871265643684, 0.3238268522580392]",0.6849906665585688
2.0,24.0,0.0014960644407146164,0.006174430213432177,1.052272000210478,2.5502975832608625e-05,0.00010519883178098536,"[0.5624222666003267, 1.5421217338206292]",0.4276697978759447,0.07913120532531277,0.4094792561335155,"[-0.04974309167797886, 0.9050826874298683]",22.36642170376636
3.0,24.0,3.4741767073152056e-07,0.00010218166786221193,1.4207686315625059,2.0371601575821403e-15,5.991647522300413e-13,"[1.0700149321841015, 1.7715223309409103]",-0.16893275537264696,0.19588922814987297,0.6072952375516503,"[-0.42493578546109945, 0.08707027471580553]",0.6452755936245769
4.0,24.0,0.0005883895871074238,0.0032633920527311362,1.0865903604624556,4.044802890834562e-06,2.2433737608622086e-05,"[0.6245276381329562, 1.548653082791955]",-0.4096214753623615,0.06591110280059041,0.3757458123032634,"[-0.8461800502274203, 0.026937099502697293]",1.5646387824123564
5.0,24.0,0.00848025534032781,0.02336682463576178,0.7273618122768126,0.0005496553788266695,0.001514202145528015,"[0.31477888026206924, 1.139944744291556]",-0.23859363170397963,0.42561685753105505,0.818485883916943,"[-0.8255478314744673, 0.34836056806650806]",0.9113605410224523
6.0,24.0,0.003882532141507737,0.012436844808660221,0.961025707911085,0.00014474892449528528,0.00046408760658956484,"[0.46533607026773, 1.45671534555444]",-0.15547315159244324,0.5689944378533472,0.8880078793811798,"[-0.6905110556156092, 0.37956475243072274]",0.5938636942563101
7.0,24.0,3.7658037576248866e-05,0.0006861608079830046,1.609653089721865,6.986080034403118e-09,1.2771627119566944e-07,"[1.0648903444866162, 2.154415834957114]",-0.11982007781509196,0.5038465943092326,0.8604331797423771,"[-0.4711450095750223, 0.23150485394483838]",0.45767898398225837
8.0,24.0,0.001348162342165667,0.005758916455214298,1.056471931256742,2.0779062984332653e-05,8.879941446296005e-05,"[0.5699878386916097, 1.5429560238218745]",0.16897044653795934,0.4879598525964306,0.8549092787411446,"[-0.3085329536118263, 0.646473846687745]",23.354580436728934
9.0,24.0,0.15669217302622337,0.2968779329788241,0.59817864161375,0.04455832876276712,0.0844227524872435,"[0.014542397793505746, 1.1818148854339943]",-0.33253923888433956,0.5169298862842266,0.8638534195926246,"[-1.3382171876546134, 0.6731387098859343]",1.270206327371022
10.0,24.0,0.000428213146226311,0.0026472418601510843,1.1893189240652842,2.08184609389472e-06,1.2874743932558565e-05,"[0.6980926404157779, 1.6805452077147904]",-0.2935397629164411,0.17732873807653182,0.5836742461311107,"[-0.720015995926493, 0.13293647009361076]",1.1212393022921914
11.0,24.0,0.0006492770752973752,0.003483246112110382,0.8472425616429891,4.957207791734557e-06,2.660873747576252e-05,"[0.48360915463761034, 1.2108759686483679]",-0.4849068351363117,0.030255837143892742,0.2575133278128276,"[-0.9235411697249434, -0.04627250054768012]",1.8522076740237785
12.0,24.0,2.2721202672273303e-05,0.0005624060067394382,1.128135105124811,1.8547034551432836e-09,4.5908501364932764e-08,"[0.7602337506778739, 1.496036459571748]",-0.436578528189127,0.010472995771869815,0.14876414448678713,"[-0.7708528712880285, -0.10230418509022549]",1.6676071394180145
13.0,24.0,0.018518315707510762,0.0448276826616092,0.7371768681610795,0.0019287268621245694,0.004668910341623261,"[0.27124869785005634, 1.2031050384721027]",-0.0747911427387633,0.8233271606166312,0.966162562495572,"[-0.7313480154989627, 0.5817657300214361]",0.2856811215927767
14.0,24.0,0.00046195032935193633,0.002779484532803468,1.0580825473222388,2.4311951095532265e-06,1.4645753672007388e-05,"[0.6181410169310568, 1.4980240777134208]",-0.1316408856096647,0.5499071583156603,0.8794293272279871,"[-0.5631707685645966, 0.2998889973452672]",0.5028311437865494
15.0,24.0,1.2265689812861595e-05,0.0004214700040056325,1.0676443740986086,3.284290201918498e-10,1.1330345456135885e-08,"[0.7346872993791662, 1.400601448818051]",-0.16939416990333633,0.3045837146579826,0.7227966277228188,"[-0.49278128633672924, 0.15399294653005657]",0.6470380673055443
16.0,24.0,0.0017024064139742998,0.006745237458898875,0.9282304606713958,3.2303723079348925e-05,0.00012803695235572303,"[0.49054004672991897, 1.3659208746128726]",-0.055838088630732585,0.8232335816659359,0.966162562495572,"[-0.5457510070985891, 0.43407482983712403]",0.21328578764122688
