"","pVal","phase","peak.shape","period"
"0",0.0356187147712106,24,18,24
"1",0.0101321891082698,6,6,24
"2",0.000465115453120018,2,18,24
"3",0.011614414017395,8,10,24
"4",0.00907633335218754,8,6,24
"5",0.106317408774789,2,18,24
"6",0.0761086731632111,24,18,24
"7",0.000205327516167627,4,8,24
"8",0.00367103707821676,2,10,24
"9",0.000273412995845985,4,10,24
"10",0.004266997413242,2,18,24
"11",0.000518911971445928,24,18,24
"12",0.00385286480615637,2,10,24
"13",0.0220596159541529,24,18,24
"14",0.000253696102996413,4,10,24
"15",1.28819725177501e-05,4,10,24
"16",0.000398823514704439,6,6,24
"17",0.00382818952915924,2,10,24
"18",0.000556188957781631,6,12,24
"19",0.000759082047491036,4,10,24
"20",0.00102714195560291,24,18,24
"21",0.000888242711124686,24,14,24
"22",0.00608774772234176,24,18,24
"23",0.00243901620308795,24,12,24
"24",6.99459628336268e-05,2,12,24
"25",0.00999013693916473,8,8,24
"26",0.00082969265509539,2,18,24
"27",0.00042606597927076,2,18,24
"28",0.000310076968746678,2,12,24
"29",2.68453693326498e-05,4,8,24
"30",0.00325131369840526,24,16,24
"31",0.00306991104553852,2,18,24
"32",8.74335818912868e-06,2,16,24
"33",0.00797152638376698,8,6,24
"34",0.0101176856291838,24,14,24
"35",2.20165290659074e-06,24,16,24
"36",0.0255234475582539,2,16,24
"37",9.47674091723161e-06,24,14,24
"38",0.000996370326930645,2,14,24
"39",0.0420875384927795,2,10,24
"40",0.000169564653987433,8,6,24
"41",0.0539460849405947,2,18,24
"42",0.00780818556649535,24,16,24
"43",5.1750646498899e-05,2,10,24
"44",0.00138004961628795,2,12,24
"45",0.0686490565559304,2,18,24
"46",0.00882202845101042,2,14,24
"47",0.000180420161413913,2,18,24
"48",0.00359996267194114,2,18,24
"49",0.0260275959902729,24,18,24
"50",0.00126819353519034,8,6,24
"51",0.044266453467515,2,18,24
"52",0.00198780506641948,2,14,24
"53",2.56136685354691e-05,24,18,24
"54",8.60233912459102e-05,2,12,24
"55",0.00327452171679141,24,12,24
"56",0.000867679947742756,24,12,24
"57",0.00670317058229946,4,8,24
"58",0.00536546876744594,2,12,24
"59",0.00205574321169037,24,18,24
"60",0.0122939849171091,2,10,24
"61",0.0152717071359648,24,18,24
"62",0.00136264080913385,24,16,24
"63",0.000193450019346753,4,12,24
"64",0.00262911974128901,24,14,24
"65",3.61483536562235e-05,2,12,24
"66",1.03409383637138e-05,24,16,24
"67",0.0669072715892387,2,18,24
"68",0.471223810307202,8,6,24
"69",0.00779063235628825,2,18,24
"70",0.00371377734480527,2,12,24
"71",0.00359039978376313,24,18,24
"72",0.0230915943540312,24,18,24
"73",5.55963681635847e-06,24,14,24
"74",0.0481574842692779,24,12,24
"75",0.000359665154059,6,12,24
"76",2.1756873464306e-05,2,10,24
"77",0.000144593414624894,2,18,24
"78",1.5347338149247e-05,24,14,24
"79",0.00244043590982047,24,16,24
"80",0.00055469900395944,24,18,24
"81",0.00131140798816316,2,16,24
"82",4.99039682697125e-08,2,12,24
"83",2.34058245565681e-05,6,12,24
"84",0.00101019601736072,2,12,24
"85",0.0470409164058175,2,10,24
"86",0.000124500462262232,4,8,24
"87",0.000977609049058762,2,12,24
"88",0.0417526460373355,2,10,24
"89",0.00914064382991727,4,8,24
"90",0.00615468005823817,24,18,24
"91",2.9982909116665e-06,2,12,24
"92",0.193310464269248,24,18,24
"93",2.78041325231016e-05,24,16,24
"94",0.169669138119612,2,10,24
"95",0.109944019127062,4,8,24
"96",5.64105859206233e-05,24,18,24
"97",0.120876244044257,24,14,24
"98",0.00275617950054631,24,18,24
"99",7.67366907462352e-06,4,10,24
"100",0.000407924758024673,2,16,24
"101",0.00323651278924594,4,8,24
"102",5.29283799827857e-05,24,18,24
"103",0.0526921825239127,24,18,24
"104",0.00121551077397514,2,12,24
"105",0.106042751285744,24,14,24
"106",7.60815736085064e-05,2,12,24
"107",0.011624746660103,24,14,24
"108",9.29841196086753e-05,2,12,24
"109",0.00413570213258212,24,12,24
"110",0.00053268915613406,24,18,24
"111",0.00298312940710841,24,12,24
"112",0.0110131112346503,8,12,24
"113",5.62119091281145e-05,2,10,24
"114",7.24002071435786e-05,2,12,24
"115",0.00127988936741877,24,14,24
"116",0.000449348827590526,24,16,24
"117",0.000271192385961683,24,14,24
"118",0.00359996267194114,8,6,24
"119",0.00353055978736708,24,18,24
"120",0.00266727048439966,24,18,24
"121",0.00818016397410266,24,18,24
"122",0.00125066996476095,2,12,24
"123",0.00232305301662227,24,14,24
"124",0.00273199664824648,24,14,24
"125",0.00585888585660899,2,16,24
"126",0.0114402359645321,2,10,24
"127",0.00130087116032727,24,14,24
"128",0.000941767638212073,6,14,24
"129",0.0229526791235821,2,18,24
"130",0.00263120207516072,2,12,24
"131",0.00015233949040837,2,18,24
"132",0.000277867788363775,24,16,24
"133",0.611100391579464,4,6,24
"134",0.00282548636909519,2,10,24
"135",0.000175730641405158,24,18,24
"136",1.49078485147914e-06,24,18,24
"137",0.000341766244807482,2,16,24
"138",0.00270739540131811,24,18,24
"139",0.00612936903682432,24,16,24
"140",0.000142153365909489,24,18,24
"141",9.22537656701308e-06,24,14,24
"142",0.0288673509476242,20,18,24
"143",0.0174192909519598,24,12,24
"144",0.00015930078612211,24,16,24
"145",8.22911406722388e-05,24,18,24
"146",0.00405568886191654,24,16,24
"147",0.0497979818596969,2,18,24
"148",0.000608346785435422,24,18,24
"149",0.0305276688673282,2,18,24
"150",0.000106309210701017,2,14,24
"151",0.000444121355562343,24,12,24
"152",0.0448728432410426,6,6,24
"153",0.00760646674981373,24,14,24
"154",0.00145350112677616,2,12,24
"155",0.0100994904499087,24,18,24
"156",0.000359665154059,24,12,24
"157",0.0455974984813771,8,6,24
"158",6.34773615078299e-06,24,18,24
"159",8.5899659401966e-06,2,16,24
"160",5.44745860231354e-06,4,10,24
"161",8.581513294696e-05,8,6,24
"162",0.00141211499004541,2,10,24
"163",0.0125528715150951,2,12,24
"164",0.00266785564477883,2,12,24
"165",0.000225618178139974,2,16,24
