test,period,p,q,amplitude,p(amplitude),q(amplitude),CI(amplitude),acrophase,p(acrophase),q(acrophase),CI(acrophase),acrophase[h]
route_0_weekend,1440.0,1.8070306994816102e-182,3.6140613989632205e-182,0.009094204206100413,0.0,0.0,"[0.008662594307961248, 0.009525814104239578]",2.139984639094541,0.0,0.0,"[2.0927362203067648, 2.187233057882317]",-466.44835217177547
route_1_weekend,1440.0,1.4708252172786972e-154,2.521414658192052e-154,0.009927288761418017,6.344935258552726e-281,1.2689870517105451e-280,"[0.00938402824940967, 0.010470549273426362]",2.2410431125208428,0.0,0.0,"[2.1869577039880377, 2.295128521053648]",-489.6092482172238
route_2_weekend,1440.0,1.3379059447091215e-62,1.4595337578644963e-62,0.006451471236470386,1.0989962661811103e-79,1.1989050176521203e-79,"[0.005782511335139989, 0.007120431137800783]",2.204826953407565,0.0,0.0,"[2.102082494142982, 2.3075714126721483]",-481.30911594776353
route_3_weekend,1440.0,7.06460835913947e-134,1.0596912538709207e-133,0.011898583176960291,9.739679991240841e-224,1.4609519986861262e-223,"[0.011168246502822712, 0.01262891985109787]",2.429086244583709,0.0,0.0,"[2.369148909895535, 2.4890235792718833]",-532.7055595517174
route_4_weekend,1440.0,2.912634879018834e-132,3.883513172025112e-132,0.0095302887803874,1.5591883698751258e-219,2.0789178265001677e-219,"[0.008939689580764914, 0.010120887980009886]",2.2920923671103184,0.0,0.0,"[2.2310593092427706, 2.353125424977866]",-501.308875558287
route_5_weekend,1440.0,5.103037451329037e-53,5.103037451329037e-53,0.0019130207422339183,2.6131492801893506e-65,2.6131492801893506e-65,"[0.001693330510157954, 0.0021327109743098827]",2.2054117457768756,0.0,0.0,"[2.0914309497702637, 2.3193925417834875]",-481.44314048637534
route_0_workday,1440.0,5.38025932436892e-211,1.2912622378485407e-210,0.010364881077887507,9.78218974642165e-261,1.676946813672283e-260,"[0.00977594836524939, 0.010953813790525624]",2.722724472196971,0.0,0.0,"[2.6683140232909914, 2.77713492110295]",-600.0024841354843
route_1_workday,1440.0,0.0,0.0,0.010081130915972921,0.0,0.0,"[0.009672757409248545, 0.010489504422697297]",2.738986647069023,0.0,0.0,"[2.700213602542484, 2.777759691595562]",-603.7295000789735
route_2_workday,1440.0,1.1060748028798606e-294,4.424299211519442e-294,0.020615356377495075,0.0,0.0,"[0.019666176478511255, 0.021564536276478894]",2.74011773990459,0.0,0.0,"[2.6960518742653505, 2.78418360554383]",-603.9887274618354
route_3_workday,1440.0,0.0,0.0,0.029518076124219726,0.0,0.0,"[0.028475830032623047, 0.030560322215816404]",2.6437225032670923,0.0,0.0,"[2.6098408201530754, 2.6776041863811093]",-581.8965665638616
route_4_workday,1440.0,3.001404863474287e-242,9.004214590422863e-242,0.02190573975936953,1.051381398583296e-308,2.5233153565999105e-308,"[0.020762582423934268, 0.02304889709480479]",2.965279783161485,0.0,0.0,"[2.915266080809863, 3.0152934855131073]",-655.592066602484
route_5_workday,1440.0,6.065887729379114e-114,7.279065275254936e-114,0.004930391497119621,1.6673025161356737e-128,2.0007630193628083e-128,"[0.004529699772844034, 0.005331083221395207]",2.7952247348481056,0.0,0.0,"[2.7174814553641826, 2.8729680143320286]",-616.6183203894842
