test,period,n_components,p,q,p_reject,q_reject,amplitude,CI(amplitude),p(amplitude),q(amplitude),acrophase,CI(acrophase),p(acrophase),q(acrophase),mesor,CI(mesor),p(mesor),q(mesor),peaks,heights
route_0_weekend,1440.0,3.0,1.1102230246251565e-16,1.1102230246251565e-16,0.9999999547990551,0.9999999547990551,0.009011764595334357,"[0.008551431500442165, 0.009519293190088284]",0.0,0.0,2.8239741771007356,"[2.610441112341704, 3.0180472648541063]",0.0,0.0,0.11490633453467086,"[0.11438810644642151, 0.11544446338986043]",0.0,0.0,[792.79279279],[0.1239181]
route_0_workday,1440.0,3.0,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,2.220446049250313e-16,0.016673816304220303,"[0.015665010659987294, 0.017654284322331036]",0.0,0.0,2.157289850212811,"[2.134256670040816, 2.1755178197562377]",0.0,0.0,0.12311501302769118,"[0.12226700349013646, 0.12395810065693506]",0.0,0.0,[467.02702703 945.58558559],[0.13079361 0.13978883]
route_1_weekend,1440.0,3.0,1.1102230246251565e-16,1.1102230246251565e-16,1.4853973950845756e-07,2.546395534430701e-07,0.01166783626096466,"[0.011135065713225915, 0.01223184138466894]",0.0,0.0,3.0252373701235045,"[2.9883225600586507, 3.061623953271004]",0.0,0.0,0.13007600427744334,"[0.12958282885671668, 0.13055536304016346]",0.0,0.0,[ 746.66666667 1170.45045045],[0.14174384 0.13482652]
route_1_workday,1440.0,3.0,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,2.220446049250313e-16,0.012467114431885008,"[0.011949379209971269, 0.012998121485104847]",0.0,0.0,2.283079345852042,"[2.1877410194331, 2.3887495699784647]",0.0,0.0,0.13135474115745757,"[0.13091293878241628, 0.131797672080409]",0.0,0.0,[536.21621622 916.75675676],[0.14055402 0.14382156]
route_2_weekend,1440.0,3.0,1.1102230246251565e-16,1.1102230246251565e-16,0.5267687677012508,0.702358356935001,0.006513420968035602,"[0.006035354307215853, 0.007337507089895652]",0.0,0.0,3.0755531683791975,"[2.7209912222781396, 3.4016649004359616]",0.0,0.0,0.13682001284340373,"[0.1361754189174119, 0.13757690575439643]",0.0,0.0,[ 735.13513514 1161.8018018 ],[0.14327633 0.14333343]
route_2_workday,1440.0,3.0,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,2.220446049250313e-16,0.030270649701728,"[0.028610633561320133, 0.03198873603984194]",0.0,0.0,2.0943951023931957,"[2.079936191141664, 2.1175335102982076]",0.0,0.0,0.15357542600933657,"[0.1521320729674931, 0.15502500401471747]",0.0,0.0,[498.73873874 960.        ],[0.17111403 0.18384488]
route_3_weekend,1440.0,3.0,1.1102230246251565e-16,1.1102230246251565e-16,0.9999539913029113,0.9999999547990551,0.012194552039625856,"[0.01096567501459852, 0.01354399153069486]",0.0,0.0,3.0000794709956584,"[2.907534387984302, 3.1009883537506666]",0.0,0.0,0.1410665751028369,"[0.1399796052854312, 0.14220480529728943]",0.0,0.0,[ 752.43243243 1060.9009009 ],[0.15326075 0.14694012]
route_3_workday,1440.0,3.0,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,2.220446049250313e-16,0.03367637400995355,"[0.03130615951707692, 0.03609744063913653]",0.0,0.0,2.169868799776734,"[2.133077327140676, 2.202886517776587]",0.0,0.0,0.16785412162484195,"[0.16592540308693918, 0.16969738182330338]",0.0,0.0,[942.7027027],[0.2015305]
route_4_weekend,1440.0,3.0,1.1102230246251565e-16,1.1102230246251565e-16,0.2105493702302308,0.3158240553453462,0.008851470554061769,"[0.008219354276872844, 0.009679598754645998]",0.0,0.0,3.0252373701235045,"[2.747511413629725, 3.280863843648356]",0.0,0.0,0.12743289453688764,"[0.12668833364995788, 0.1282424893877078]",0.0,0.0,[ 746.66666667 1107.02702703],[0.13628437 0.13556473]
route_4_workday,1440.0,3.0,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,2.220446049250313e-16,0.028075340013359186,"[0.026580916292386347, 0.029932649058849098]",0.0,0.0,-2.188737224122619,"[-3.3391769389688566, -1.2289242514022725]",2.3601641886417113e-05,2.3601641886417113e-05,0.14273550047782363,"[0.14190576458918047, 0.14399592417585716]",0.0,0.0,[501.62162162 971.53153153],[0.17081084 0.17013063]
route_5_weekend,1440.0,3.0,1.1102230246251565e-16,1.1102230246251565e-16,0.5910069831992457,0.7092083798390948,0.002155531034229295,"[0.0018921913543161273, 0.002501934682527707]",0.0,0.0,3.1132900170709665,"[2.7642839514136717, 3.4387483312316367]",0.0,0.0,0.05543381970323504,"[0.055164901208636735, 0.055744623431097415]",0.0,0.0,[ 726.48648649 1173.33333333],[0.05758921 0.05743777]
route_5_workday,1440.0,3.0,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,2.220446049250313e-16,0.007600228552668002,"[0.006718934293209699, 0.00850987867069679]",0.0,0.0,2.207605648468503,"[2.1739189888142243, 2.2383740364447937]",0.0,0.0,0.06041184372540078,"[0.05967746047016321, 0.061152474428990695]",0.0,0.0,[464.14414414 934.05405405],[0.0631552  0.06801207]
