"CycID","BH.Q","ADJ.P","PER","LAG","AMP"
"route_0_weekend","1.5696432124644e-134","9.15625207270901e-135","23","15","0.0082054746873983"
"route_1_weekend","2.31732797502355e-101","1.93110664585295e-101","23","14.5","0.0098182002386358"
"route_2_weekend","1.70074183487812e-60","1.55901334863827e-60","23","15","0.00614708421569398"
"route_3_weekend","4.36953463419295e-109","2.91302308946197e-109","23","14","0.0103715140656436"
"route_4_weekend","6.22558608892693e-103","4.6691895666952e-103","23","14.5","0.00892898315242838"
"route_5_weekend","9.4047701665304e-59","9.4047701665304e-59","23","14.5","0.00198641442664172"
"route_0_workday","0","0","23","12.5","0.00810290625380577"
"route_1_workday","0","0","23","12.5","0.00903274421954492"
"route_2_workday","0","0","22","12.5","0.0182491562653414"
"route_3_workday","0","0","23","12.5","0.0225868528540683"
"route_4_workday","0","0","23","11.5","0.0200902120929641"
"route_5_workday","0","0","23","11.5","0.00340528187424291"
