test,period,n_components,p,q,p_reject,q_reject,amplitude,CI(amplitude),p(amplitude),q(amplitude),acrophase,CI(acrophase),p(acrophase),q(acrophase),mesor,CI(mesor),p(mesor),q(mesor),peaks,heights
1.0,24.0,1.0,3.82845463220427e-07,3.960470309176831e-07,0.01991687018852817,0.14937652641396126,60.033698398377425,"[38.44851492313091, 82.00722031139131]",7.211726194000789e-08,7.211726194000789e-08,2.7107636310254275,"[2.4880487542097427, 2.9379423146944577]",0.0,0.0,78.82417968268985,"[65.50194589920832, 91.82026672845353]",0.0,0.0,[13.64564565],[138.85713209]
10.0,24.0,1.0,1.1102230246251565e-16,4.163336342344337e-16,0.008533314570561057,0.08533314570561057,2356.2564028107427,"[2146.375531561666, 2578.3642335741565]",0.0,0.0,-2.4403162154010802,"[-2.5517304220800847, -2.3386178963941706]",0.0,0.0,2593.8321369631535,"[2416.9983507177067, 2764.3423212555244]",0.0,0.0,[13.11711712],[171.92001848]
2.0,24.0,1.0,1.8412488956842665e-06,1.8412488956842665e-06,0.260858879830155,0.782576639490465,20.110309176397422,"[13.357374100987332, 27.50968801121591]",1.9058735700738794e-08,2.117637300082088e-08,-2.8302636518826967,"[-3.1298921499924326, -2.5253292198102884]",0.0,0.0,50.220127659642245,"[45.68017824980732, 55.09413429433193]",0.0,0.0,[13.02102102],[198.68808712]
3.0,24.0,1.0,1.8053660644223868e-07,1.9343207833097e-07,0.12348671484899565,0.6174335742449782,39.19596175797319,"[27.00174320369957, 51.57623903692873]",5.21563681132875e-10,6.519546014160937e-10,-1.4340002502872329,"[-1.7029808398802548, -1.174546645545893]",0.0,0.0,66.89535777570879,"[58.89798405596011, 74.77894701134969]",0.0,0.0,[9.32132132],[4950.05414294]
4.0,24.0,1.0,1.3322676295501878e-15,3.633457171500512e-15,0.18481862837243312,0.66631139782105,76.5170230694276,"[64.78953308478273, 88.88806135589593]",0.0,0.0,2.572395185822273,"[2.427267093513147, 2.719961386223204]",0.0,0.0,75.1593919672549,"[66.96967136095567, 83.47284516810454]",0.0,0.0,[8.6966967],[5460.81415678]
5.0,24.0,1.0,1.1634950780603504e-09,1.5176022757308917e-09,0.006472375406165964,0.08533314570561057,55.56386764030685,"[40.120057678378984, 71.1297076452409]",3.5724756486388287e-12,5.103536640912613e-12,-1.6604213424378482,"[-1.8606328020155876, -1.465252224538641]",0.0,0.0,44.9097962931281,"[35.1389026983277, 54.37426063495249]",0.0,0.0,[8.6966967],[5395.29115416]
6.0,24.0,1.0,1.1102230246251565e-16,4.163336342344337e-16,0.0016965315796576563,0.05089594738972969,149.44928794000253,"[128.24102580526096, 170.98325116298076]",0.0,0.0,1.3396581285578097,"[1.2102658481342286, 1.4603703882938273]",0.0,0.0,167.73814822488873,"[152.6344270765066, 182.36094153341367]",0.0,0.0,[10.81081081],[70.33043684]
7.0,24.0,1.0,1.4155343563970746e-13,2.654126918244515e-13,0.4784747706184591,0.9195006815323509,180.3721728065869,"[150.58474985098428, 212.2091270800018]",0.0,0.0,0.32076321388003937,"[0.137002558281755, 0.5025221822722025]",0.0006206143085709659,0.0006206143085709659,410.4912350636039,"[387.86215504262975, 432.97816651318306]",0.0,0.0,[10.18618619],[83.89219712]
8.0,24.0,1.0,2.2815083156046967e-13,3.6023815509547845e-13,0.04311722328104595,0.2587033396862757,565.7565478058559,"[465.47647866729, 670.6098635612746]",0.0,0.0,-2.8805794501383892,"[-3.0713032963804783, -2.68636733159579]",0.0,0.0,802.5600228506014,"[732.0615592664735, 874.3174350840552]",0.0,0.0,[9.84984985],[87.28346974]
9.0,24.0,1.0,4.107825191113079e-15,9.479596594876337e-15,0.199893419346315,0.66631139782105,430.6316240818163,"[366.68201213515863, 496.0130804101459]",0.0,0.0,1.9308687580621955,"[1.7620010175729346, 2.09603367230436]",0.0,0.0,755.9082156838044,"[707.4883308053041, 804.5356934465173]",0.0,0.0,[5.47747748],[106.09131953]
