test,period,n_components,p,q,p_reject,q_reject,RSS,R2,R2_adj,log-likelihood,amplitude,acrophase,mesor,peaks,heights,troughs,heights2,ME,resid_SE
0.0,24.0,1.0,0.4664689056605352,0.9951493500298007,0.04511045333888164,0.0974809401472591,1200.6424227606112,0.05918157086286557,-0.016083903468105287,-92.34798441485154,2.463124740738369,-1.7484739893853103,49.307039248924255,[6.67867868],[51.77012119],[18.69069069],[46.84391451],14.272720587675106,6.930057496906101
1.0,24.0,1.0,0.4248356219716266,0.9951493500298007,0.07830030667197863,0.14153958038213352,1558.5509140922832,0.06619181996121837,-0.008512834441884332,-96.00058052982226,2.979557752176052,1.3773949772495788,9.83925342217172,[18.73873874],[12.8187606],[6.72672673],[6.85969567],16.26149308287993,7.895697344990582
10.0,24.0,1.0,0.6912482784927805,0.9951493500298007,0.0051029157177188145,0.02212383309451038,2184.9104889892237,0.029108441666916396,-0.04856288299973044,-100.7300377550186,2.080239258287037,2.811395227536812,18.207100120876294,[13.26126126],[20.28733938],[1.24924925],[16.12686086],19.253812865078064,9.348605220008436
11.0,24.0,1.0,0.5075762560921899,0.9951493500298007,0.005240801986833854,0.02212383309451038,235.86800078435743,0.052803458060936226,-0.022972265294189054,-69.56522840501279,0.9962266969115561,-1.3585265529036947,37.71149307585355,[5.18918919],[38.70771833],[17.15315315],[36.71528465],6.326076429882191,3.071598937259599
12.0,24.0,1.0,0.9951493500298007,0.9951493500298007,0.14485067042235544,0.21559169551234297,373.88200178525784,0.0003889205551891317,-0.07957996580039572,-76.0145792086671,0.10671151837165382,-1.559789745926464,11.807408174016981,[5.95795796],[11.91411789],[17.92192192],[11.70069697],7.96465926926756,3.867205718785893
13.0,24.0,1.0,0.7970252448156293,0.9951493500298007,0.19720570913539714,0.26853543371628547,29.805984897756684,0.017985803559206204,-0.06057533215605737,-40.605344711063196,0.2075829555247637,0.823921196436963,20.877577684380206,[20.85285285],[21.08516064],[8.84084084],[20.66999634],2.2488042852448418,1.09189715445653
14.0,24.0,1.0,0.45273750022235215,0.9951493500298007,0.012275892353744822,0.04364761725775937,2301.0040835432774,0.061427733034586596,-0.013658048322646499,-101.45482789329903,3.429347910112355,1.603816069400195,72.8258760620255,[17.87387387],[76.25522397],[5.86186186],[69.39655816],19.75871133029614,9.593756477091292
15.0,24.0,1.0,0.7014615128890467,0.9951493500298007,0.6895348619417268,0.7234464125290248,93.08109715490316,0.02796856994532626,-0.04979394445904761,-56.54801154553272,0.4617785673621704,0.8868159442565782,54.666075819715914,[20.61261261],[55.12785439],[8.6006006],[54.20429738],3.974025673800844,1.9295709072734608
16.0,24.0,1.0,0.12913975931950938,0.9951493500298007,0.4232115982353736,0.4924644052193438,73.46037373019836,0.1510447511128078,0.08312833120183238,-53.23386157804471,0.9526734330410456,-0.9308422677303092,63.13632080909352,[3.55555556],[64.08899424],[15.56756757],[62.18364738],3.5304209238241584,1.7141805474359852
17.0,24.0,1.0,0.9482800934558975,0.9951493500298007,0.01615619385658784,0.04923792413436295,106.68674511634245,0.004239417242550614,-0.0754214293780453,-58.45797273556019,0.1896277852367909,-2.3019477701979265,35.85865953955222,[8.79279279],[36.04828665],[20.75675676],[35.66903483],4.254564915180627,2.0657855175825244
