"","pVal","phase","peak.shape","period"
"0",0.9077526864433,2,14,24
"1",0.598276080206779,14,16,24
"2",0.0574786879757189,6,6,24
"3",0.588230213766209,8,10,24
"4",0.811360991850131,8,14,24
"5",0.00502835497330732,8,10,24
"6",0.635758039142754,20,6,24
"7",0.760012559636194,14,14,24
"8",0.326756877421255,6,12,24
"9",0.890752803062526,24,8,24
"10",0.233105260337071,16,10,24
"11",0.56286941342173,8,10,24
"12",0.881889432680852,6,6,24
"13",0.533580291945658,6,14,24
"14",0.659160378062644,16,10,24
"15",0.753419870252762,12,6,24
"16",0.425113193551577,2,16,24
"17",0.853327571936107,22,6,24
"18",0.344228934361789,16,12,24
"19",0.230155893329654,8,10,24
"20",0.244042840345155,4,8,24
"21",0.552498658063454,2,14,24
"22",0.01887796206867,16,10,24
"23",0.201076433366833,10,18,24
"24",0.796811273329615,22,6,24
"25",0.525158734585267,20,8,24
"26",0.739901445282104,2,12,24
"27",0.928781013684553,6,12,24
"28",0.75237502157201,22,16,24
"29",0.255347214505005,14,16,24
"30",0.775346374052913,16,16,24
"31",0.64186734934915,2,16,24
"32",0.87055073575847,16,6,24
"33",0.889465132360373,20,8,24
"34",0.853385786378237,20,8,24
"35",0.340832798447678,8,10,24
"36",0.180805473909609,2,14,24
"37",0.0490207191183718,8,6,24
"38",0.294401869364906,10,18,24
"39",0.920975885056053,16,10,24
"40",0.800236926705299,12,6,24
"41",0.00635116860728335,14,14,24
"42",0.921294978539811,6,8,24
"43",0.693654379529356,18,14,24
"44",0.720124082007027,6,14,24
"45",0.180404556786143,2,16,24
"46",0.00792853956047199,8,6,24
"47",0.852089734783769,20,18,24
"48",0.219453483161108,10,16,24
"49",0.71286341973008,16,10,24
"50",0.208997176468503,16,10,24
"51",0.0593035388077735,6,8,24
"52",0.566655432475631,16,12,24
"53",0.651354082935301,18,14,24
"54",0.704305882314644,6,12,24
"55",0.390186232757381,6,18,24
"56",0.37280961148712,20,10,24
"57",0.893232665044799,14,12,24
"58",0.800511851736506,12,6,24
"59",0.845152664283181,16,16,24
"60",0.91580611611645,16,10,24
"61",0.833331983236268,20,10,24
"62",0.857468515924585,16,8,24
"63",0.237108127754648,14,16,24
