"","pVal","phase","peak.shape","period"
"1",0.790554842092803,8,12,24
"2",0.790554842092803,4,20,24
"3",0.883182534438062,4,12,24
"4",0.790554842092803,20,12,24
"5",0.809284193922146,20,20,24
"6",0.753471490893032,20,20,24
"7",0.728355774529931,12,12,24
"8",0.790554842092803,16,12,24
"9",0.847023045099432,24,12,24
"10",0.773782797230177,12,4,24
"11",0.868156695301513,12,16,24
"12",0.790554842092803,12,12,24
"13",0.829052997032332,16,16,24
"14",0.886936270735144,4,12,24
"15",0.886936270735144,24,12,24
"16",0.921184498073651,24,12,24
"17",0.790554842092803,4,20,24
"18",0.790554842092803,12,12,24
"19",0.790554842092803,16,12,24
"20",0.753471490893032,12,4,24
"21",0.780381186996355,16,16,24
"22",0.726311534041083,20,4,24
"23",0.728355774529931,12,12,24
"24",0.773782797230177,4,20,24
"25",0.932232670834816,4,8,24
"26",0.886936270735144,4,12,24
"27",0.817815353889107,20,16,24
"28",0.731059260965724,8,12,24
"29",0.753471490893032,20,8,24
"30",0.780381186996355,24,4,24
"31",0.790554842092803,4,12,24
"32",0.817815353889107,24,16,24
"33",0.843504950469846,20,12,24
"34",0.728355774529931,4,12,24
"35",0.868156695301513,8,8,24
"36",0.728355774529931,12,12,24
"37",0.886936270735144,8,12,24
"38",0.790554842092803,4,20,24
"39",0.868156695301513,20,16,24
"40",0.840410509072998,24,12,24
"41",0.817815353889107,8,8,24
"42",0.790554842092803,24,12,24
"43",0.674443410756019,4,4,24
"44",0.753471490893032,12,4,24
"45",0.790554842092803,12,12,24
"46",0.657953334869152,4,20,24
"47",0.843504950469846,24,12,24
"48",0.728355774529931,4,12,24
"49",0.843504950469846,24,12,24
"50",0.883182534438062,8,4,24
"51",0.749381567506688,12,8,24
"52",0.789544001842982,16,4,24
"53",0.868156695301513,16,4,24
"54",0.81623489096897,12,20,24
"55",0.81623489096897,16,4,24
"56",0.728355774529931,4,20,24
"57",0.843504950469846,4,12,24
"58",0.824303698808858,16,20,24
"59",0.789544001842982,16,12,24
"60",0.921184498073651,24,12,24
"61",0.728355774529931,12,12,24
"62",0.868156695301513,4,16,24
"63",0.859758663589086,8,12,24
"64",0.728355774529931,24,20,24
"65",0.789544001842982,20,12,24
"66",0.773782797230177,24,20,24
"67",0.824303698808858,16,4,24
"68",0.790554842092803,20,12,24
"69",0.657953334869152,4,4,24
"70",0.728355774529931,8,12,24
"71",0.852727964285026,12,20,24
"72",0.728355774529931,4,4,24
"73",0.778203935487714,16,8,24
"74",0.829052997032332,16,12,24
"75",0.728355774529931,16,4,24
"76",0.728355774529931,12,12,24
"77",0.868156695301513,4,8,24
"78",0.790554842092803,12,12,24
"79",0.728355774529931,24,20,24
"80",0.790554842092803,4,12,24
"81",0.843504950469846,16,12,24
"82",0.868156695301513,24,4,24
"83",0.728355774529931,8,4,24
"84",0.886936270735144,20,12,24
"85",0.728355774529931,24,12,24
"86",0.921184498073651,24,12,24
"87",0.728355774529931,24,12,24
"88",0.824303698808858,4,20,24
"89",0.829052997032332,16,20,24
"90",0.852727964285026,4,20,24
"91",0.921184498073651,20,20,24
"92",0.824303698808858,12,4,24
"93",0.824303698808858,16,20,24
"94",0.906927656632189,24,8,24
"95",0.697700080092433,20,16,24
"96",0.843504950469846,20,12,24
"97",0.728355774529931,4,12,24
"98",0.758836984699842,4,12,24
"99",0.953770141818736,24,16,24
"100",0.843504950469846,4,12,24
"101",0.903962452769447,20,16,24
"102",0.753471490893032,4,16,24
"103",0.921184498073651,24,12,24
"104",0.753471490893032,12,8,24
"105",0.704077248712267,4,12,24
"106",0.886936270735144,24,12,24
"107",0.790554842092803,16,4,24
"108",0.657953334869152,4,8,24
"109",0.728355774529931,20,12,24
"110",0.868156695301513,8,12,24
"111",0.757890296390695,12,4,24
"112",0.800464962651907,4,8,24
"113",0.915892998676509,4,12,24
"114",0.780381186996355,20,16,24
"115",0.852727964285026,16,8,24
"116",0.921184498073651,20,12,24
"117",0.790554842092803,4,20,24
"118",0.878394268992004,8,4,24
"119",0.780381186996355,24,16,24
"120",0.824303698808858,4,20,24
"121",0.843504950469846,20,12,24
"122",0.81623489096897,12,20,24
"123",0.817815353889107,24,16,24
"124",0.817815353889107,24,4,24
"125",0.780381186996355,24,8,24
"126",0.790554842092803,20,12,24
"127",0.728355774529931,12,20,24
"128",0.824303698808858,16,8,24
"129",0.874026929435918,8,12,24
"130",0.871625044826851,20,12,24
"131",0.790554842092803,4,4,24
"132",0.78350762235274,16,12,24
"133",0.883182534438062,20,12,24
"134",0.903962452769447,24,16,24
"135",0.817815353889107,4,20,24
"136",0.780381186996355,24,16,24
"137",0.753471490893032,24,16,24
"138",0.868156695301513,24,20,24
"139",0.697259072679439,4,12,24
"140",0.817815353889107,16,16,24
"141",0.824303698808858,12,20,24
"142",0.999825649367153,4,16,24
"143",0.999825649367153,8,16,24
"144",0.868156695301513,4,16,24
"145",0.93016788782305,16,12,24
"146",0.843504950469846,4,12,24
"147",0.840410509072998,24,20,24
"148",0.773782797230177,4,4,24
"149",0.790554842092803,20,12,24
"150",0.921184498073651,4,12,24
"151",0.790554842092803,16,12,24
"152",0.722617940095735,20,20,24
"153",0.921184498073651,24,12,24
"154",0.871625044826851,20,20,24
"155",0.847023045099432,24,20,24
"156",0.824303698808858,4,8,24
"157",0.921184498073651,20,12,24
"158",0.947136758718211,20,12,24
"159",0.858165449544497,24,20,24
"160",0.921184498073651,20,12,24
"161",0.903962452769447,4,16,24
"162",0.843504950469846,20,12,24
"163",0.817815353889107,16,16,24
"164",0.903962452769447,20,8,24
"165",0.800464962651907,20,12,24
"166",0.824303698808858,16,4,24
"167",0.809284193922146,4,12,24
"168",0.855256646164794,4,20,24
"169",0.843504950469846,20,12,24
"170",0.932232670834816,20,8,24
"171",0.844380921692038,20,16,24
"172",0.829052997032332,20,16,24
"173",0.79898162543798,4,20,24
"174",0.868156695301513,12,16,24
"175",0.807060226691529,20,4,24
"176",0.840410509072998,24,16,24
"177",0.903755304074835,20,12,24
"178",0.892826304496358,4,4,24
"179",0.790554842092803,24,12,24
"180",0.773782797230177,12,20,24
"181",0.912111236424177,24,4,24
"182",0.921184498073651,16,12,24
"183",0.843504950469846,8,12,24
"184",0.932232670834816,20,16,24
"185",0.883182534438062,24,12,24
"186",0.674443410756019,4,20,24
"187",0.852727964285026,12,20,24
"188",0.912111236424177,20,20,24
"189",0.697259072679439,16,12,24
"190",0.843504950469846,4,12,24
"191",0.868156695301513,20,8,24
"192",0.753471490893032,4,20,24
"193",0.903962452769447,4,16,24
"194",0.886936270735144,20,12,24
"195",0.855256646164794,8,4,24
"196",0.898093133070531,8,4,24
"197",0.790554842092803,4,12,24
"198",0.790554842092803,8,20,24
"199",0.728355774529931,20,12,24
