test,period,p,q,amplitude,p(amplitude),q(amplitude),CI(amplitude),acrophase,p(acrophase),q(acrophase),CI(acrophase),acrophase[h]
0.0,24.0,9.610132512206635e-09,2.002110940043049e-08,0.8744721639526885,1.2545816350895785e-22,2.613711739769955e-22,"[0.6993854708019441, 1.0495588571034327]",0.11137000707936373,0.2936944845594821,0.4893026194686145,"[-0.09650667801857304, 0.3192466921773005]",23.574597908667357
1.0,24.0,5.795512026641072e-09,1.2330876652427814e-08,1.0775797265867277,7.64740535249366e-24,1.6271075218071618e-23,"[0.8678056361435357, 1.2873538170299197]",0.13544297787398207,0.18884122719559993,0.36315620614538446,"[-0.06658165736323043, 0.33746761311119455]",23.482645933542468
2.0,24.0,2.9873320019165e-11,2.1338085727974996e-10,0.968315164015912,2.018153106828773e-40,1.4415379334491234e-39,"[0.8257285579661118, 1.1109017700657122]",0.056118905058723634,0.472181958073037,0.6468246001000507,"[-0.09687305955121248, 0.20911086966865974]",23.785641572615983
3.0,24.0,3.013561440042628e-10,1.0205308236276392e-09,1.021899733004821,3.564219748805537e-32,1.272935624573406e-31,"[0.8522734125303126, 1.1915260534793293]",0.03346427776967076,0.7037592336200965,0.7819547040223295,"[-0.13902391854181528, 0.2059524740811568]",23.87217587462296
4.0,24.0,4.944009255073978e-10,1.4981846227496902e-09,0.9769603009923932,1.285716632121555e-30,3.896111006428954e-30,"[0.8104874205315507, 1.1434331814532357]",0.1478089111731098,0.1012785909330684,0.2355316068210893,"[-0.02897912166385, 0.32459694401006955]",23.43541154769045
5.0,24.0,7.64994052492117e-13,2.7437582365532445e-11,1.1075213871320948,1.377355567282812e-57,6.88677783641406e-56,"[0.9718128658253271, 1.2432299084388625]",0.2085325162521281,0.0012808162789366456,0.015029559127085533,"[0.08161162172023906, 0.33545341078401714]",23.20346446183399
6.0,24.0,5.4334360034295914e-11,2.73474882969501e-10,1.0422752916346547,4.084868652812669e-38,2.143208119458881e-37,"[0.8840086803280387, 1.2005419029412707]",0.1497012666623796,0.06253101799764678,0.19540943124264618,"[-0.007832838314156793, 0.307235371638916]",23.428183282165545
7.0,24.0,6.833837586640759e-08,1.3667675173281518e-07,0.9669802102528274,2.1100449245650322e-18,4.2200898491300644e-18,"[0.7504115333151431, 1.1835488871905118]",0.06653074675371773,0.5751799700101248,0.7089167378198454,"[-0.16614015031224502, 0.2992016438196805]",23.745871266877216
8.0,24.0,3.1636455532456815e-10,1.0205308236276392e-09,1.1216290395533772,5.098936878354939e-32,1.6448183478564318e-31,"[0.9349718932925788, 1.3082861858141757]",0.022173865172866236,0.8015794027253992,0.8652010700800976,"[-0.15076428423083366, 0.19511201457656613]",23.915302074006842
9.0,24.0,1.645922016036829e-10,6.583688064147316e-10,0.9079975652291741,3.6055513895671893e-34,1.4422205558268757e-33,"[0.7619805121792469, 1.0540146182791013]",-0.017950661066799434,0.8332560999257507,0.8771116841323692,"[-0.1850674158125487, 0.14916609367894984]",0.06856647457316077
10.0,24.0,6.505730506852138e-10,1.8587801448148966e-09,0.9910310155360487,8.699178771113086e-30,2.4854796488894534e-29,"[0.8196850277844842, 1.1623770032876133]",0.10593051197872594,0.24747782352158643,0.4555401712818282,"[-0.07359433188584677, 0.2854553558432986]",23.595375249463935
11.0,24.0,2.5161398950511214e-09,5.990809273931242e-09,1.0183831772702943,5.65306331310205e-26,1.3459674555004883e-25,"[0.8290089504677242, 1.2077574040728645]",0.11318135226346815,0.25054709420500554,0.4555401712818282,"[-0.07987975605263758, 0.3062424605795739]",23.567679079714654
12.0,24.0,3.200847681494611e-11,2.1338984543297405e-10,1.029314557390366,3.88256939202118e-40,2.5883795946807868e-39,"[0.8771858965099819, 1.18144321827075]",-0.2470535222010941,0.0015395555537699994,0.015395555537699994,"[-0.39994184149511847, -0.09416520290706976]",0.9436749423976185
13.0,24.0,2.7673515939422156e-09,6.4357013812609665e-09,0.8630585585830648,1.004775129222784e-25,2.33668634702973e-25,"[0.7017378570043402, 1.0243792601617894]",-0.05464312036470442,0.5813117250122732,0.7089167378198454,"[-0.24884879642284152, 0.13956255569343268]",0.20872134508819487
14.0,24.0,1.2213559106899677e-09,3.3009619207836966e-09,1.0225976054468788,5.901460276242742e-28,1.5949892638493898e-27,"[0.8397400231551366, 1.205455187738621]",-0.0058077599274044545,0.9511565493140403,0.9539519307529938,"[-0.19163909676193044, 0.18002357690712154]",0.02218400881769871
15.0,24.0,5.4694976593900206e-11,2.73474882969501e-10,1.0164627722926427,4.2864162389177615e-38,2.143208119458881e-37,"[0.8620713459752398, 1.1708541986100456]",0.0624479620883065,0.4379690798388931,0.6347377968679611,"[-0.09535431938906336, 0.22025024356567635]",23.76146635554314
16.0,24.0,1.270341980635806e-09,3.3430052121994898e-09,0.9322346428408695,7.621504907225371e-28,2.00565918611194e-27,"[0.7651823389540036, 1.0992869467277355]",0.015869539547423095,0.8673503017859086,0.9034898976936547,"[-0.17035233088435517, 0.20209140997920136]",23.939382824074446
17.0,24.0,1.820694876175986e-09,4.668448400451246e-09,1.0346144654490255,7.59199884845286e-27,1.9466663713981695e-26,"[0.8455790323819768, 1.2236498985160742]",0.009436393851941283,0.9224048934665231,0.9509328798623949,"[-0.18044113414446813, 0.1993139218483507]",23.963955630564037
18.0,24.0,1.0769015417231963e-11,1.1965572685813291e-10,0.989869233681596,1.2007220836802506e-44,1.3341356485336119e-43,"[0.851473287177786, 1.128265180185406]",-0.0585296258875303,0.4296830638706082,0.6347377968679611,"[-0.20378858923391288, 0.08672933745885228]",0.22356670265567544
19.0,24.0,6.659735363988382e-13,2.7437582365532445e-11,1.1354727871190886,2.2788730380683933e-58,2.2788730380683933e-56,"[0.9973037538833535, 1.2736418203548237]",-0.03769162729275699,0.5590558370402804,0.6988197963003504,"[-0.16413566579443234, 0.08875241120891836]",0.14397141112367204
20.0,24.0,1.867832127418557e-09,4.669580318546392e-09,0.9576379829202839,8.923605879079531e-27,2.2309014697698826e-26,"[0.782422846035112, 1.1328531198054557]",0.0594459931503577,0.5399265894270322,0.6988197963003504,"[-0.13064609738717342, 0.24953808368788882]",23.772933032234725
21.0,24.0,1.4049568390298311e-11,1.404956839029831e-10,1.093433793820325,1.655494706658412e-43,1.655494706658412e-42,"[0.9384861639159531, 1.2483814237246968]",-0.06994119708039914,0.35175316137865287,0.5496143146541451,"[-0.2171524230363933, 0.077270028875595]",0.2671556937866391
22.0,24.0,1.3718791182766224e-12,2.7437582365532445e-11,1.0943160918853845,1.8141366296941596e-54,3.628273259388319e-53,"[0.9563109366458121, 1.2323212471249567]",0.005565624591656437,0.9336658032716817,0.9527202074200833,"[-0.12549232399676127, 0.13662357318007415]",23.97874088003626
23.0,24.0,2.65710346321731e-10,1.0035083149195495e-09,1.008281088994472,1.398849015578001e-32,5.38018852145385e-32,"[0.8420192552732642, 1.1745429227156798]",0.03992414738590444,0.647899385425677,0.7622345710890318,"[-0.13142009778449953, 0.21126839255630842]",23.847500990275293
24.0,24.0,3.127404907386236e-10,1.0205308236276392e-09,0.9002162070603326,4.730500105550914e-32,1.5768333685169712e-31,"[0.7504860914549945, 1.0499463226656707]",-0.1580370502024504,0.0725898687866637,0.20163852440739916,"[-0.33055949232692183, 0.014485391922021057]",0.603657065553168
25.0,24.0,3.045322311781408e-10,1.0205308236276392e-09,0.9946302852106568,3.889422555620831e-32,1.3411801915933902e-31,"[0.8294276848073634, 1.1598328856139501]",0.16055259420111945,0.06775369507798044,0.199275573758766,"[-0.011718378969208132, 0.332823567371447]",23.38673426415995
26.0,24.0,1.2535619384406036e-10,5.450269297567842e-10,1.0188001509698457,4.1965419303830474e-35,1.8245834479926292e-34,"[0.8572717800628791, 1.1803285218768123]",0.03838959309575518,0.6478805063217719,0.7622345710890318,"[-0.12635926279381893, 0.2031384489853293]",23.853362555892577
27.0,24.0,1.364424824694451e-10,5.68510343622688e-10,1.0413546407567043,8.319128716647782e-35,3.466303631936576e-34,"[0.8755108269578328, 1.2071984545555758]",-0.14947752367335632,0.07619847444106541,0.2059418228136903,"[-0.31470054298278316, 0.015745495636070556]",0.5709620825700111
28.0,24.0,1.2320869756235116e-10,5.450269297567842e-10,0.9786451001914082,3.654050439226117e-35,1.6609320178300532e-34,"[0.8236226756466802, 1.133667524736136]",0.03475628225971672,0.6789855899360486,0.7804432068230444,"[-0.1298478665574742, 0.19936043107690765]",23.867240780996855
