test,period,n_components,p,q,p_reject,q_reject,amplitude,CI(amplitude),p(amplitude),q(amplitude),acrophase,CI(acrophase),p(acrophase),q(acrophase),mesor,CI(mesor),p(mesor),q(mesor),peaks,heights
0.0,24.0,1.0,9.610132467585686e-09,3.133738848125767e-08,0.931484721510208,0.98051023316864,0.8744710515112777,"[0.6959325180343267, 1.0607733564758275]",0.0,0.0,0.10692107129334705,"[-0.09421592444588583, 0.3192771892152693]",0.28573816977958355,0.4420046945186687,-0.10439327726693926,"[-0.22971780356962468, 0.01243035850342343]",0.07856570940453089,0.9820713675566362,[23.59159159],[0.7700706]
1.0,24.0,1.0,5.795512070250197e-09,2.123769634050392e-08,0.6700171144922875,0.8963302951356924,1.077577408057473,"[0.8785653948638281, 1.2842819023790726]",0.0,0.0,0.1320789704211931,"[-0.05947672729109424, 0.34463980553169293]",0.16644755721354687,0.3200914561798978,0.029765487348996755,"[-0.12454825467067335, 0.17962241422888273]",0.7224332833295817,0.9881714659958081,[23.87987988],[0.8325164]
10.0,24.0,1.0,6.505730398842502e-10,4.152593871601597e-09,0.3010316300818484,0.5857172964621583,0.9910296227189928,"[0.8155495392615576, 1.1660356541297896]",0.0,0.0,0.10692107129334705,"[-0.055912681446252166, 0.26372186292467303]",0.202319162945517,0.3649396134713739,-0.003535527103073366,"[-0.1241359670747703, 0.12015260030436763]",0.9744800527831274,0.9881714659958081,[0.38438438],[0.82861322]
11.0,24.0,1.0,2.5161398520268108e-09,1.1436999327394594e-08,0.33258211117196335,0.6127894374327061,1.018380705792767,"[0.8302788061928917, 1.21660723093173]",0.0,0.0,0.10692107129334705,"[-0.08613631496682733, 0.30921858974570055]",0.26844424033404257,0.4420046945186687,-0.06049113316472399,"[-0.20450220970869554, 0.08016781569631794]",0.3916024762771251,0.9881714659958081,[23.4954955],[1.10734141]
12.0,24.0,1.0,3.20085069560605e-11,5.6485600510695e-10,0.08143416923446667,0.30137925760592343,1.0293132660805129,"[0.8545511700475203, 1.2010405543914224]",0.0,0.0,-0.2515789912784623,"[-0.37163498728334227, -0.12422088988336737]",8.975595258342572e-05,0.004487797629171286,0.0005414319005585533,"[-0.10929150246861374, 0.10585490578446388]",0.9750005714894072,0.9881714659958081,[23.59159159],[1.20412096]
13.0,24.0,1.0,2.7673515701209794e-09,1.239112643337752e-08,0.009814549157076358,0.19677159640346997,0.863057426131926,"[0.7101976371395633, 1.0158829252068102]",0.0,0.0,-0.0503157982556921,"[-0.24442274222237703, 0.15141543991193718]",0.6448427525434257,0.7498171541202625,0.013259068187314926,"[-0.10157731838422347, 0.12477948218970415]",0.8406257397753678,0.9881714659958081,[0.24024024],[1.29423312]
14.0,24.0,1.0,1.2213559053009249e-09,6.661941301641409e-09,0.1279922147475432,0.3588566768622706,1.0225957331386568,"[0.8671756154378119, 1.197185788166737]",0.0,0.0,-0.006289474781961069,"[-0.20359319054232394, 0.20424033433829536]",0.9975161580113998,0.9975161580113998,0.046110562501156194,"[-0.08845729315783771, 0.1805308999835776]",0.5019281161309395,0.9881714659958081,[23.59159159],[0.9874941]
15.0,24.0,1.0,5.4695026285855874e-11,6.836878285731984e-10,0.16949298950160985,0.42729325084439457,1.0164608718741432,"[0.8566020399474826, 1.1744519947190002]",0.0,0.0,0.05660527303765406,"[-0.09926732770648655, 0.22042893915884804]",0.4572276907143362,0.6096369209524483,-0.019394103329181345,"[-0.1321519100881741, 0.09333161591810288]",0.7355498600932249,0.9881714659958081,[22.72672673],[0.91263778]
16.0,24.0,1.0,1.2703419427495533e-09,6.686010224997649e-09,0.6511061574969625,0.892458666186045,0.9322325419157966,"[0.7735987641690188, 1.0994224185769386]",0.0,0.0,0.018868424345884094,"[-0.1791114406808876, 0.20270833775471034]",0.9034974743884159,0.9411432024879333,-0.03414678901605883,"[-0.14586610911388043, 0.08314974849263125]",0.5911170122578229,0.9881714659958081,[ 1.72972973 20.22822823],[0.91742881 0.7961482 ]
17.0,24.0,1.0,1.8206949281562856e-09,8.839381377394452e-09,0.25037483207277955,0.5327124086654884,1.0346119110756542,"[0.8667157893135902, 1.211804006697542]",0.0,0.0,0.006289474781961069,"[-0.1942571165019762, 0.19522152336491216]",0.9961240181501381,0.9975161580113998,0.09071576554190586,"[-0.046867141675418694, 0.23689076581855031]",0.18910784684087556,0.9881714659958081,[23.59159159],[0.95786962]
18.0,24.0,1.0,1.0769052316561556e-11,3.5896841055205186e-10,0.6984961075433215,0.8963302951356924,0.9898679487147757,"[0.8484966171899682, 1.1315415877079518]",0.0,0.0,-0.06289474781961513,"[-0.20549112282598847, 0.08465358850557847]",0.41397232711581333,0.5749615654386296,0.01477083138145907,"[-0.08266821767942852, 0.11420767048730661]",0.7533079171058048,0.9881714659958081,[22.96696697],[0.79384508]
19.0,24.0,1.0,6.660227924726314e-13,8.231415549175836e-11,0.6381664555689327,0.8889303585377154,1.135470059419177,"[1.0006800466474508, 1.282640936793563]",0.0,0.0,-0.037736848691769076,"[-0.15695484970068385, 0.07642955348009473]",0.4985160677273561,0.647423464580982,-0.10747537304116994,"[-0.20803536251277688, -0.011859490760514138]",0.028063690329550806,0.9354563443183602,[0.04804805],[0.81799471]
2.0,24.0,1.0,2.98733260351014e-11,5.6485600510695e-10,0.21490814888816434,0.4794699267676589,0.9683133959988903,"[0.8272104085650271, 1.1181440114189016]",0.0,0.0,0.05660527303765406,"[-0.10859959226081131, 0.21364178846077522]",0.5225320697444822,0.6614329996765597,-0.02238932142622152,"[-0.12771477248173432, 0.08039416911332468]",0.6555455140202562,0.9881714659958081,[0.96096096],[1.02984576]
20.0,24.0,1.0,1.8678321112020058e-09,8.894438624771456e-09,0.7334652072946717,0.9052949851591804,0.9576360288332051,"[0.8199494277798476, 1.111791137638991]",0.0,0.0,0.05660527303765406,"[-0.1537306930200389, 0.2723931484698097]",0.5848765761347461,0.7046705736563206,-0.08448299858896968,"[-0.20767870514250877, 0.04597100911431398]",0.21121257872334676,0.9881714659958081,[1.2012012],[1.14319351]
21.0,24.0,1.0,1.4049539309723968e-11,4.2148617929171905e-10,0.4760897974133944,0.7828797618747299,1.0934320786547862,"[0.935344079648941, 1.2543838352544707]",0.0,0.0,-0.07547369738353815,"[-0.19862151137060682, 0.05973537950074484]",0.29172309838232136,0.4420046945186687,-0.04768688577102442,"[-0.15474455973493179, 0.05779518258298859]",0.37093981825610545,0.9881714659958081,[1.34534535],[1.27853451]
22.0,24.0,1.0,1.371902591529306e-12,8.231415549175836e-11,0.8789173600430958,0.9668301360774767,1.094314345178788,"[0.9714241170280161, 1.2264373150808436]",0.0,0.0,0.006289474781961069,"[-0.13408560663774782, 0.14182704039714888]",0.9561027824814512,0.985672971630362,0.015082241045884848,"[-0.08188481548397632, 0.11523392128047912]",0.7399625955719831,0.9881714659958081,[0.19219219],[0.87631008]
23.0,24.0,1.0,2.657103426173535e-10,2.3224051253529457e-09,0.1143588471598409,0.33967974403913137,1.008279651951313,"[0.8800518263631617, 1.146802324643302]",0.0,0.0,0.04402632347373103,"[-0.16015202152369334, 0.22733662060831983]",0.7337468673620904,0.8244346824293151,0.010806616554464576,"[-0.11023358700712738, 0.13291545806214644]",0.8547919658483423,0.9881714659958081,[23.73573574],[1.00434365]
24.0,24.0,1.0,3.1274050016349975e-10,2.433573855252182e-09,0.6967230285582648,0.8963302951356924,0.9002148258512196,"[0.7571027560616826, 1.0394658797958536]",0.0,0.0,-0.16352634433100022,"[-0.3301467529920642, 0.015463532597346147]",0.07428246859848775,0.17435643258039715,-0.044141775669502836,"[-0.14766362607738528, 0.06051721813268582]",0.4115829010422618,0.9881714659958081,[23.78378378],[1.11204715]
25.0,24.0,1.0,3.045321772532361e-10,2.433573855252182e-09,0.9674228547781245,0.9839814370743093,0.9946280790162577,"[0.8666855667134686, 1.1359844859085706]",0.0,0.0,0.15723686954903826,"[-0.030005694231697855, 0.3479464507918121]",0.0991016864153671,0.22022596981192688,-0.10971217154341073,"[-0.22059432924182915, 0.006087678170038371]",0.06361355589613504,0.9820713675566362,[],[]
26.0,24.0,1.0,1.2535616988884613e-10,1.2967879643673737e-09,0.8658648733169358,0.9620720814632621,1.0187984607546514,"[0.8404711187044942, 1.1978472960475703]",0.0,0.0,0.04402632347373103,"[-0.09049477582055121, 0.1677731584523261]",0.5572231020187237,0.6795403683155168,0.04454024465930295,"[-0.06873119566264382, 0.15677315777763123]",0.44377195974474537,0.9881714659958081,[23.25525526],[1.05401183]
27.0,24.0,1.0,1.3644252394584555e-10,1.3644252394584555e-09,0.30416095562686907,0.5857172964621583,1.0413533479937742,"[0.8639644999284947, 1.2254364740095205]",0.0,0.0,-0.1509473947670772,"[-0.29270447788542975, -0.0016590342573044314]",0.04744960687935085,0.16361933406672707,0.052895944036481124,"[-0.06552998204841627, 0.1713713088029925]",0.38084711515480807,0.9881714659958081,[23.11111111],[1.2218461]
28.0,24.0,1.0,1.2320866549231368e-10,1.2967879643673737e-09,0.5060638686480168,0.8075487265659842,0.9786429200828555,"[0.8535829065179718, 1.1051933998825976]",0.0,0.0,0.03144737390980801,"[-0.15080061814712015, 0.2211414815679979]",0.7106310500306159,0.8075352841256999,0.00892550049198948,"[-0.10320709508451957, 0.11765697054628797]",0.8978701012339909,0.9881714659958081,[23.78378378],[0.99704952]
29.0,24.0,1.0,1.6738721519971023e-11,4.419849102095423e-10,0.08975381942679095,0.3168309498025528,0.9817490498506376,"[0.8694523152902001, 1.1097946838085784]",0.0,0.0,-0.012578949563923025,"[-0.1748792590857296, 0.1429248397230563]",0.8436258906213285,0.8974743517248176,0.08554745718096346,"[-0.007371308802809048, 0.18129325159665954]",0.07075139764269878,0.9820713675566362,[22.63063063],[0.89860579]
