CycID,ARS_qvalue,JTK_qvalue,LS_qvalue,meta2d_qvalue,Cosinor_qvalue,Cosinor1_qvalue,Cosinor1(amp)_qvalue,Rain_qvalue
0,1.968994151397976e-08,4.2009209673541735e-06,0.002546168898289362,3.6082248300317506e-14,3.133738848125767e-08,2.002110940043049e-08,2.613711739769955e-22,4.283789875674286e-07
1,9.847181698893704e-09,9.960157785441394e-07,0.002546168898289362,4.037174635000568e-15,2.1237696340503923e-08,1.2330876652427814e-08,1.6271075218071618e-23,6.3305596028399e-10
2,9.240016159613611e-11,1.0401109510423348e-07,0.002415083728381892,0.0,4.152593871601597e-09,2.1338085727975e-10,1.4415379334491234e-39,1.1601030772818175e-09
3,7.955754111055313e-10,2.420670501133623e-07,0.002415083728381892,0.0,1.1436999327394594e-08,1.0205308236276392e-09,1.272935624573406e-31,8.420745269467455e-09
4,9.834752540968758e-10,7.225955068338147e-07,0.002415083728381892,3.000602769257189e-16,5.6485600510695e-10,1.49818462274969e-09,3.896111006428954e-30,3.9475389391925555e-09
5,1.6314727346866624e-11,7.369420041252513e-09,0.002415083728381892,0.0,1.239112643337752e-08,2.7437582365532445e-11,6.886777836414059e-56,1.0820878405609e-10
6,3.781013963460438e-10,4.313206182731345e-08,0.002415083728381892,0.0,6.661941301641409e-09,2.73474882969501e-10,2.143208119458881e-37,2.389054988927492e-09
7,1.243482901092108e-07,1.7491882855481818e-05,0.0043265146684932,1.445510378061954e-12,6.836878285731983e-10,1.3667675173281518e-07,4.2200898491300644e-18,3.991584224840917e-07
8,3.781013963460438e-10,3.169206980083869e-08,0.002415083728381892,0.0,6.686010224997649e-09,1.0205308236276392e-09,1.6448183478564318e-31,2.5516226115495534e-10
9,1.292516094153485e-10,9.960157785441394e-07,0.002415083728381892,0.0,8.839381377394452e-09,6.583688064147316e-10,1.4422205558268757e-33,4.234989029246875e-08
10,1.414235395458264e-09,4.2009209673541735e-06,0.002415083728381892,1.807339807529326e-15,3.589684105520518e-10,1.8587801448148966e-09,2.4854796488894534e-29,3.468874650692065e-07
11,6.4186728396133265e-09,4.2009209673541735e-06,0.0024849330208,1.0866012581437703e-14,8.231415549175836e-11,5.990809273931242e-09,1.3459674555004885e-25,4.62799144499298e-07
12,1.4314687001885998e-10,2.2582591096232538e-08,0.002415083728381892,0.0,5.6485600510695e-10,2.1338984543297402e-10,2.5883795946807868e-39,8.046082936285719e-11
13,3.859233346329442e-09,3.169206980083869e-08,0.0024723838808383336,0.0,8.894438624771456e-09,6.4357013812609665e-09,2.33668634702973e-25,5.603619747728368e-10
14,3.0183425559507693e-09,4.313206182731345e-08,0.0024398589678394735,0.0,4.214861792917191e-10,3.3009619207836966e-09,1.5949892638493898e-27,8.508950913155484e-11
15,8.754774682984133e-11,4.781621466347424e-07,0.002415083728381892,0.0,8.231415549175836e-11,2.73474882969501e-10,2.143208119458881e-37,5.4668410795831905e-08
16,3.7022718224477624e-09,9.960157785441394e-07,0.0024634474599865,1.3216940769347094e-15,2.3224051253529453e-09,3.3430052121994894e-09,2.00565918611194e-27,1.044576831905147e-08
