"","pVal","phase","peak.shape","period"
"0",5.92124269961123e-08,24,16,24
"1",6.46979900945332e-11,2,10,24
"2",1.2459798243058e-08,2,12,24
"3",3.10596233914967e-10,2,12,24
"4",8.31597845743025e-09,2,12,24
"5",1.06929581127584e-08,4,12,24
"6",4.43199463945948e-09,2,12,24
"7",2.37379897811625e-15,2,10,24
"8",1.18386034376539e-06,2,12,24
"9",1.48698479400699e-09,24,14,24
"10",5.80966959774367e-09,2,12,24
"11",1.22355792434106e-12,2,12,24
"12",6.19802001844397e-10,2,10,24
"13",8.6074686432136e-11,2,12,24
"14",3.79758271677207e-10,2,14,24
"15",3.55605915854259e-11,4,10,24
"16",2.1711464165559e-09,24,12,24
"17",3.19648723519572e-11,2,12,24
"18",1.60162309130503e-10,2,10,24
"19",3.31977503534036e-07,4,8,24
"20",1.44210407109386e-09,4,8,24
"21",1.04816639412369e-10,4,8,24
"22",3.75390599062212e-08,2,10,24
"23",3.49388798041231e-11,2,12,24
"24",1.08771984295855e-10,4,8,24
"25",2.62857977858217e-09,2,12,24
"26",1.45892847713893e-09,4,10,24
"27",1.25130199687404e-08,2,12,24
"28",4.02304146814286e-12,2,12,24
"29",7.07119924686573e-08,2,12,24
"30",3.25679831510507e-11,2,12,24
"31",1.67171488559198e-11,24,12,24
"32",9.8875981673857e-10,2,12,24
"33",6.79384912294903e-11,24,14,24
"34",3.200481371817e-09,4,8,24
"35",1.59198419003661e-12,22,16,24
"36",3.86790832263822e-10,2,10,24
"37",3.56652047317873e-13,2,12,24
"38",8.62732654081521e-12,2,10,24
"39",1.33360742043073e-10,4,12,24
"40",7.74236225691476e-09,24,14,24
"41",7.74236225691476e-09,24,14,24
"42",3.70110615141188e-13,2,12,24
"43",1.26972992148601e-12,2,12,24
"44",1.57502276572082e-09,2,10,24
"45",9.81688258249449e-14,2,12,24
"46",3.01445082889299e-08,6,6,24
"47",3.56652047317873e-13,2,12,24
"48",2.81981684244826e-08,4,8,24
"49",7.59898517808301e-09,4,10,24
"50",0.872811220188983,4,8,24
"51",0.875084576140623,4,16,24
"52",0.901938123178313,4,10,24
"53",0.938707998601978,18,8,24
"54",0.948707848031503,18,8,24
"55",0.917711197277619,4,10,24
"56",0.916654197767505,16,14,24
"57",0.87084074846441,18,8,24
"58",0.942867053744245,18,18,24
"59",0.931600796812507,18,14,24
"60",0.398713130658814,24,14,24
"61",0.884191484185216,4,16,24
"62",0.907199273901671,24,14,24
"63",0.922418823281055,4,8,24
"64",0.9066624627799,24,14,24
"65",0.8823224328207,24,14,24
"66",0.484885875223112,18,8,24
"67",0.921207950569647,4,16,24
"68",0.919383043517972,24,14,24
"69",0.947259419320355,4,10,24
"70",0.912603586906196,4,18,24
"71",0.360087666252169,18,14,24
"72",0.883708982709523,18,8,24
"73",0.912788091355226,4,8,24
"74",0.854994148804176,18,8,24
"75",0.875476746846889,4,8,24
"76",0.906896218441939,4,8,24
"77",0.938306386020424,18,14,24
"78",0.9113973760063,18,8,24
"79",0.904180902481213,4,8,24
"80",0.934998398959249,4,10,24
"81",0.8831843483685,18,18,24
"82",0.919383043517972,18,8,24
"83",0.451695676786436,4,8,24
"84",0.927025156059557,4,8,24
"85",0.9447731963297,24,12,24
"86",0.868506669224755,18,8,24
"87",0.933717489772098,10,16,24
"88",0.874425239942942,18,8,24
"89",0.893833196941729,4,10,24
"90",0.939462388068604,18,14,24
"91",0.881956215565504,18,8,24
"92",0.867105322212505,4,16,24
"93",0.889260060303071,24,14,24
"94",0.955041850934741,4,8,24
"95",0.938827877106174,4,10,24
"96",0.958984902594237,18,8,24
"97",0.891397434685116,18,8,24
"98",0.881468649826512,4,16,24
"99",0.888083691141425,4,18,24
