test,period,n_components,p,q,p_reject,q_reject,RSS,R2,R2_adj,log-likelihood,amplitude,acrophase,mesor,peaks,heights,troughs,heights2,ME,resid_SE
0.0,24.0,2.0,0.77036644130498,0.9994819832810439,0.0013106491201415604,0.007625594880823624,3218.706380605185,0.07278254958948382,-0.08847265917756264,-106.1537031645681,5.769690557886374,0.7736053981812709,41.539099746736724,[21.04504505],[47.3087903],[5.76576577],[35.76953871],24.47176974521979,11.829782571057098
1.0,24.0,2.0,0.8918871558349482,0.9994819832810439,0.01346773947620672,0.02102281284090805,5544.969898560897,0.04544085594746772,-0.12056942997471198,-113.76846638402765,6.286219747066011,-1.3207897042119248,19.259655192417082,[ 5.04504505 13.74174174],[25.54571854 25.17477442],[21.38138138],[12.97343545],32.11990807541719,15.526932979938994
10.0,24.0,2.0,0.9478911225434153,0.9994819832810439,0.0008246570303125367,0.006857170265821111,5961.717645198644,0.02988752629308089,-0.1388276865255138,-114.78301058386847,3.9104865742989148,-1.0188949146777704,30.942154260346598,[3.89189189],[34.85264083],[12.06006006 19.84384384],[29.20733214 27.03168336],33.305073694759855,16.09984829147892
11.0,24.0,2.0,0.9746870845268415,0.9994819832810439,0.0034806488411252,0.010146931301000446,495.4621341330913,0.02013455809581277,-0.15027682310491564,-79.95628882604528,1.5567034429539746,2.3333951441077345,35.44421459060374,[ 4.66066066 15.08708709],[36.26259641 37.000909  ],[ 9.27327327 22.1021021 ],[35.40080893 33.88751115],9.601297611802023,4.641317907537692
12.0,24.0,2.0,0.5044972505486236,0.9994819832810439,0.00251458978858754,0.008262183041304638,729.3710491467011,0.12964753631278036,-0.021718109545866726,-85.3699719949278,4.540386258236089,-1.3711055024676178,15.57279410842483,[5.23723724],[20.11309978],[12.25225225 21.52552553],[14.72134144 11.03240785],11.649276612026682,5.631321758300509
13.0,24.0,2.0,0.8992943975056501,0.9994819832810439,0.0008571462832276389,0.006857170265821111,137.26473250016727,0.04357337934239969,-0.12276168511979169,-61.98617560077202,0.9539978508806755,-1.7484739893853103,20.629211941535626,[ 6.67867868 15.47147147],[21.58320979 20.98635609],[22.91891892],[19.67523223],5.053638602513986,2.4429555558448786
14.0,24.0,2.0,0.8716351268946949,0.9994819832810439,0.0014800883029072454,0.0076615299906563905,5996.224650622706,0.05036686962837711,-0.1147867182623401,-114.86381034104272,7.234418151005286,-1.6226844937460791,75.61584707694476,[6.1981982],[82.85026523],[14.41441441 22.1021021 ],[71.41040314 68.38142893],33.40132113697648,16.14637481270305
15.0,24.0,2.0,0.6590997560832579,0.9994819832810439,0.012659452347400957,0.02077448590342721,228.41074136760088,0.09601000762110001,-0.061205643227404405,-69.11545286331,2.054183437273551,-1.6730002920017721,53.75623466455167,[ 6.39039039 16.0960961 ],[55.8104181  54.40931955],[22.91891892],[51.70205123],6.51902968979862,3.151333336635676
16.0,24.0,2.0,0.7585705649880068,0.9994819832810439,0.002228481950754313,0.008182136258349872,278.96715843980365,0.07526838576671646,-0.08555450366515904,-71.91473267218312,1.4173910838301929,-1.9874740310998495,59.89517432138106,[ 7.59159159 16.76876877],[61.31255069 60.57077927],[23.97597598],[58.47783692],7.204456718218179,3.4826723774548642
17.0,24.0,2.0,0.8165033642117353,0.9994819832810439,0.0006242369453444141,0.006857170265821111,269.4281028204769,0.06288099612100284,-0.10009622194490975,-71.42763783545874,1.9073973681331609,-1.6604213424378482,36.13097866962102,[6.34234234],[38.03837604],[13.5015015  22.87087087],[35.09263669 34.22361688],7.080210075882476,3.4226108952115393
