"CycID","BH.Q","ADJ.P","PER","LAG","AMP"
"0","1","1","20","0","1.29273218359059"
"1","1","1","20","12","2.77861282673325"
"2","1","1","20","0","2.62372713080452"
"3","1","1","24","18","0.526957663663951"
"4","1","1","20","12","0.432675837868659"
"5","1","1","28","14","0.22484669326846"
"6","1","1","20","16","1.12245689258651"
"7","1","1","20","14","5.95212613501956"
"8","1","1","24","0","0.409570261158473"
"9","1","1","20","4","1.92900933146355"
"10","1","1","28","24","1.60103267157939"
"11","1","1","28","18","0.535043115044301"
"12","1","1","20","16","0.777970300630411"
"13","1","1","28","14","0.16441923931193"
"14","1","1","20","8","1.90874108056946"
"15","1","1","28","20","0.506698179302957"
"16","1","1","20","6","1.03420543792957"
"17","1","1","20","10","0.320718298224286"
"18","1","1","20","10","0.741396782845578"
"19","1","1","20","6","2.06221158012809"
"20","1","1","28","22","0.623923737970928"
"21","1","1","20","0","0.832058194255646"
"22","1","1","24","18","0.228622039434031"
"23","1","1","28","18","3.21415777969382"
"24","1","1","28","22","1.00927473408252"
"25","1","1","28","22","1.31476318426755"
"26","1","1","28","4","0.952180927179337"
"27","1","1","20","8","1.37984331318072"
"28","1","1","24","18","1.31790497894992"
"29","1","1","20","16","0.256198954203222"
"30","1","1","20","6","0.638205787558336"
"31","1","1","20","14","1.63317942164217"
"32","1","1","20","0","0.572880195470974"
"33","1","1","20","18","0.182513724318184"
"34","1","1","20","16","1.5856878469522"
"35","1","1","20","8","1.44208173299357"
"36","1","1","28","26","1.32297676210617"
"37","1","1","20","0","0.509422888835891"
"38","1","1","20","10","0.755535533195596"
"39","1","1","20","12","3.61139418713735"
"40","1","1","28","20","0.45743491977581"
"41","1","1","24","12","2.1352969128706"
"42","1","1","20","0","1.81037303354934"
"43","1","1","20","18","1.23206567270589"
"44","1","1","20","0","1.57680868606441"
"45","1","1","20","6","1.94503659780298"
"46","1","1","24","0","1.77728742031885"
"47","1","1","20","6","0.99076788430654"
"48","1","1","20","10","0.39333259770652"
"49","1","1","28","14","0.747643282904013"
"50","1","1","28","22","1.25075661990671"
"51","1","1","20","0","0.979476912154348"
"52","1","1","20","10","1.77395748207592"
"53","1","1","20","18","4.5567668810122"
"54","1","1","28","10","1.79329378182411"
"55","1","1","20","10","0.239207304717356"
"56","1","1","28","6","3.73955162673641"
"57","1","1","20","6","10.7528303772823"
"58","1","1","28","10","2.05052847374333"
"59","1","1","20","6","3.24079998275456"
"60","1","1","20","8","0.802460485597157"
"61","1","1","20","8","2.0985772297855"
"62","1","1","20","10","1.00673648226151"
"63","1","1","20","16","11.9123016437001"
