"CycID","PhaseShift","PhaseShiftHeight","PeakIndex","PeakSPD","Period","p","N","Nindependent","Nyquist","BH.Q"
"1","8.50521190761171","26.6087196747406","1","0.281544534596756","28","0.999986855277924","12","8","0.3","1"
"2","2.00007368029384","88.6855764323328","1","0.279358382156791","28","0.999987546577888","12","8","0.3","1"
"3","10.5778474634875","5.87981332698196","1","0.0238855996851569","28","0.999999999999904","12","8","0.3","1"
"4","15.1098112490752","7.52464869636876","48","0.125823271102751","20","0.999999961822991","12","8","0.3","1"
"5","2.00006680169155","0.380702997843819","1","0.3071417919696","28","0.999976078016031","12","8","0.3","1"
"6","10.1027232255317","4.92538175058638","48","0.0712920421723995","20","0.999999999497406","12","8","0.3","1"
"7","13.6641137705815","0.701837483444772","1","0.188371143841912","28","0.999999244879817","12","8","0.3","1"
"8","17.691400192012","118.437349086271","1","0.171409047186679","28","0.999999620899623","12","8","0.3","1"
"9","13.8029092942272","17.0786661959412","1","0.170195541590955","28","0.999999640153057","12","8","0.3","1"
"10","7.7428786997397","13.7659605881133","48","0.172915978044032","20","0.999999595775564","12","8","0.3","1"
"11","10.2127924111388","138.593298486633","5","0.237359304037281","27.0781893004115","0.999996027472806","12","8","0.3","1"
"12","7.95620567406197","6.17957987635303","2","0.282854294626845","27.7637130801688","0.999986425982591","12","8","0.3","1"
"13","14.9421501790941","29.7779113979632","48","0.163030911630656","20","0.999999737703305","12","8","0.3","1"
"14","2.00007368029384","3.68775221631606","5","0.146234771429177","27.0781893004115","0.999999882655004","12","8","0.3","1"
"15","19.5971061793627","5.43192707222373","24","0.135485803016278","23.4163701067616","0.999999933557751","12","8","0.3","1"
"16","21.9999263197062","7.18862714683058","1","1.12966602067126","28","0.955946051672873","12","8","0.3","1"
"17","10.0817329241981","49.3085525219917","1","0.0194071980045037","28","0.999999999999981","12","8","0.3","1"
"18","17.5693490240038","5.83830740559193","1","0.00926709159101975","28","1","12","8","0.3","1"
"19","15.7579593756998","7.17804387768321","20","0.197401682796553","24.1025641025641","0.999998939466869","12","8","0.3","1"
"20","9.66979685125914","11.9063497594259","48","0.10880451548733","20","0.999999987239251","12","8","0.3","1"
"21","14.1734923325396","13.7442357885258","48","0.246234658761988","20","0.999994849932502","12","8","0.3","1"
"22","17.4760334572878","2.87030725323109","48","0.0165417043015525","20","0.999999999999995","12","8","0.3","1"
